country_iso3,langoff_1,merchandise_of_gdp,agriculture_forestry_fishing_of_gdp,net_barter_of_trade,industry_of_gdp,gdp_per_capita,inflation_rate,foreign_direct_investment_inflows,population,gdp_growth,continent,landlocked,area,gdp_us_dollar
SGP,English,277.526313416792,0.0346645211472078,81.87670111,25.2604463868213,53890.4287270504,5.2477933984048,49155657316.2946,5183688,6.337870814,Asia,0,646,279351168707.0
SLE,English,70.245272337373,54.5934658718491,65.86315799,7.869629662271,448.337662148696,6.78819444444446,950477791.380298,6563238,6.315045036,Africa,0,73326,2942546781.0
SLV,Spanish,75.2965791895893,7.33018829321345,80.5127644,26.195498967402,3266.01258790059,5.12892376681616,122500004.314785,6210567,3.815356138,America,0,21041,20283790000.0
STP,Portuguese,62.6378924213075,11.3001321587146,115.9719663,16.6680981670923,1254.54159767468,14.3271667616801,32152348.5469533,184521,4.398201685,Africa,0,964,231488665.2
SUR,Dutch,92.8254912814835,8.73235538333795,140.5565891,35.1093274287296,8263.20380320348,17.7117796414557,145288761.2,535177,5.849367784,America,0,163820,4422276622.0
SVK,Slovak,161.338254531613,2.1627257821802,91.96647031,31.0354117998344,18361.5694760083,3.91928599146294,5431592591.915,5398384,2.847218178,Europe,1,49036,99122802874.0
SVN,Slovenian,136.292608658633,2.14260566834084,94.35868968,26.8088279393627,25095.1322896197,1.80285171941907,875946337.676014,2052843,0.8613277327,Europe,0,20256,51516366655.0
SWE,Swedish,63.4023223326953,1.67048248278859,92.83549928,23.6323618761744,60755.7595508465,2.96115073822139,6979353755.44351,9449213,3.195333235,Europe,0,449964,574094112973.0
SWZ,Swati,80.0746893998211,9.71988478106542,119.0191438,36.7774895543568,4496.61296226253,6.10742714590245,98708321.7157849,1072029,2.247229761,Africa,1,17364,4820499497.0
SYC,English,143.738193391937,2.22137693240376,83.22307843,13.7073969384662,12189.0951601357,2.5592677223095,143240665.103455,87441,7.887279597,Africa,0,455,1065826670.0
TCD,French,66.5444793771431,51.1962001303935,217.8429308,12.6090044327778,984.736130484829,2.02924053678257,281900000.0,12360986,0.08286979844,Africa,1,1284005,12172309523.0
TGO,French,86.9215086051715,29.8750736235753,115.1477638,17.1220637287378,587.097492827983,3.56351472903955,728710878.416044,6595939,6.398199052,Africa,0,56785,3872459250.0
THA,Thai,121.720523608315,11.5917917775207,93.82092079,37.9813982711097,5492.12149993341,3.80879058139634,2473685995.7,67518379,0.8401320831,Asia,0,513115,370819140947.0
TJK,Tajik,68.4222479390511,23.8355098416752,102.3762515,22.4687490647166,847.382432066315,12.4315490430408,145883670.0,7697507,7.400640543,Asia,1,143095,6522732203.0
TKM,Turkmen,70.4675028506271,8.88435455800276,223.4511001,65.8692912440737,5649.96210595541,5.3,3391067000.0,5174076,14.69999993,Asia,1,488100,29233333333.0
TON,Tongan,49.9368686453048,17.049495008416,102.4640609,19.1712720931761,4002.81377065344,6.27075302995689,7641551.95808181,103558,6.818276144,Pacific,0,748,414523388.5
TTO,English,96.1545591683343,0.456542570355529,139.9827214,57.0510122828478,19034.1207062684,5.10713289264559,41047454.4570203,1336180,-0.294354409,America,0,5130,25433011405.0
TUN,Arabic,91.2430219468401,8.53467551114708,112.7946423,29.8067053069984,4264.6781221604,3.24002842009523,432666011.578487,10741872,-1.91717768,Africa,0,164150,45810626509.0
