source,target,weight
AFG,TKM,0.189
ALB,IRL,0.315
ALB,THA,3.508
ALB,AZE,2.865
ALB,BLZ,9.551
ALB,HND,0.002
ALB,AFG,0.739
ALB,SAU,21.362
ALB,GMB,0.002
ALB,SLE,22.012
ALB,ZAF,4.978
ALB,SDN,0.818
ALB,MOZ,1.009
ALB,QAT,10.998
ALB,TGO,6.582
ALB,PAN,5.896
ALB,TZA,5.557
ALB,LBR,10.147
ALB,MHL,3.309
ALB,LKA,2.176
ALB,COM,4.251
ALB,KEN,10.836
ALB,GEO,5.154999999999999
ALB,KOR,0.337
ARG,BWA,1.4860000000000002
ARG,SYC,104.807
ARG,LAO,12.395
ARG,BDI,670.265
ARG,KNA,286.139
ARG,MMR,468.243
ARG,BLZ,415.468
ARG,GNB,492.557
ARG,CAF,97.5
ARG,VUT,178.615
ARG,BRN,86.727
ARG,DMA,413.6110000000001
ARG,ZMB,708.307
ARG,MDV,206.377
ARG,FJI,459.23
ARG,VCT,514.922
ARG,PNG,646.2839999999999
ARG,COM,245.616
ARG,ATG,598.712
ARG,TJK,444.422
ARG,GRD,610.922
ARM,PRT,3.164
ARM,IRL,0.583
ARM,GHA,3.83
ARM,URY,4.59
ARM,MNG,10.795
ARM,KHM,0.098
ARM,MEX,0.003
ARM,NOR,20.832
ARM,SLE,3.964
ARM,NZL,0.66
ARM,MDV,0.039
ARM,FIN,0.616
ARM,ALB,12.9
ARM,TZA,19.953
ARM,UGA,6.96
ARM,JOR,0.048
ARM,BRA,0.475
ARM,OMN,0.12
ARM,NAM,5.991
ARM,ZWE,12.75
ARM,PHL,1.0
ARM,ARG,2.0
ATG,IRL,0.235
ATG,GHA,0.222
ATG,MEX,0.151
ATG,HND,0.403
ATG,HTI,0.111
ATG,ZMB,0.186
AUS,BLR,336.154
AUS,LUX,950.052
AUS,GNQ,993.997
AUS,BTN,35.254
AUS,BDI,44.641000000000005
AUS,KNA,107.397
AUS,NER,310.727
AUS,SWZ,213.262
AUS,BLZ,97.911
AUS,ARM,1421.5140000000004
AUS,GNB,180.787
AUS,PLW,618.3119999999999
AUS,HND,612.8260000000001
AUS,LCA,709.825
AUS,TKM,380.018
AUS,MKD,1033.428
AUS,CAF,21.454
AUS,GMB,593.86
AUS,HTI,1341.593
AUS,MDA,115.467
AUS,DMA,311.928
AUS,VCT,49.777
AUS,UZB,977.598
AUS,BEN,1427.04
AUS,KGZ,1333.7589999999998
AUS,SVK,1843.535
AUS,BHS,1690.463
AUS,MHL,1215.844
AUS,BOL,625.1
AUS,NIC,413.858
AUS,RWA,98.985
AUS,ATG,343.678
AUS,ZWE,1303.167
AUS,TJK,420.54
AUS,GRD,63.938
AUS,PRY,343.522
AUS,TCD,461.08
AUT,SYC,1505.061
AUT,KIR,2.45
AUT,GNQ,1350.42
AUT,BDI,165.304
AUT,KNA,157.12
AUT,NER,686.6769999999999
AUT,SWZ,10.944
AUT,KHM,1422.594
AUT,GNB,5.883
AUT,LSO,1.392
AUT,MWI,213.132
AUT,CAF,114.42300000000002
AUT,PRK,876.66
AUT,GMB,724.9050000000001
AUT,SLE,557.2930000000001
AUT,FSM,3.743
AUT,VUT,45.797
AUT,BRN,889.392
AUT,DMA,86.869
AUT,MDG,1147.0780000000002
AUT,GIN,484.381
AUT,GUY,321.71500000000003
AUT,CPV,602.613
AUT,FJI,238.6
AUT,VCT,109.844
AUT,MHL,619.568
AUT,PNG,1375.5669999999998
AUT,COM,39.49
AUT,STP,15.197
AUT,RWA,270.341
AUT,ATG,229.44
AUT,WSM,13.914
AUT,ZWE,1175.687
AUT,GRD,73.155
AZE,SYC,56.336
AZE,LBY,0.76
AZE,IRL,42.42999999999999
AZE,LUX,130.914
AZE,COL,4.454
AZE,GHA,66.293
AZE,GNQ,1.214
AZE,PER,1.35
AZE,BLZ,24.751
AZE,MEX,32.264
AZE,NOR,269.2799999999999
AZE,HUN,35.257
AZE,PAK,7.332
AZE,SLE,32.661
AZE,ZAF,0.01
AZE,SVN,6.257
AZE,BRN,26.018000000000004
AZE,NZL,55.129
AZE,CAN,225.70800000000003
AZE,MOZ,330.969
AZE,AUS,106.936
AZE,TTO,0.52
AZE,FIN,69.012
AZE,QAT,24.258000000000003
AZE,VEN,0.2769999999999999
AZE,ALB,9.8
AZE,PAN,46.389
AZE,TZA,3.439
AZE,BHR,7.93
AZE,KWT,60.132
AZE,AGO,2.066
AZE,UGA,0.306
AZE,JOR,57.832
AZE,SVK,146.109
AZE,GAB,10.491
AZE,BRA,96.45
AZE,NGA,28.800000000000004
AZE,COG,25.953
AZE,ECU,0.502
BDI,ETH,1.774
BDI,NER,3.809
BDI,BIH,0.716
BDI,HND,1.746
BDI,NOR,0.496
BDI,NPL,2.266
BDI,GIN,3.047
BDI,TGO,0.996
BDI,BEN,2.96
BDI,ISR,3.515
BDI,NIC,1.17
BEL,BTN,726.8220000000001
BEL,KNA,343.00800000000004
BEL,SWZ,1648.342
BEL,BLZ,814.273
BEL,LSO,2200.804
BEL,PLW,15.846
BEL,LCA,1801.103
BEL,PRK,632.356
BEL,VUT,157.973
BEL,DMA,593.5910000000001
BEL,MDV,3073.464000000001
BEL,FJI,1737.9049999999995
BEL,VCT,164.97
BEL,TON,586.5590000000001
BEL,STP,3273.465
BEL,ATG,478.186
BEL,WSM,1226.542
BEL,TJK,3079.126
BEL,GRD,674.6540000000001
BEN,DZA,3.167
BEN,GMB,3.127
BEN,ZMB,4.223
BEN,MOZ,0.845
BEN,CHL,6.335000000000001
BEN,RWA,6.334
BEN,ECU,0.127
BFA,LBY,5.292
BFA,IRL,0.155
BFA,SWE,6.945
BFA,LBN,17.589
BFA,ETH,15.81
BFA,BIH,1.74
BFA,IDN,1.75
BFA,AFG,2.917
BFA,MWI,2.273
BFA,HUN,4.392
BFA,DOM,1.401
BFA,DZA,5.861
BFA,MRT,14.712
BFA,SLE,8.656
BFA,NZL,4.598
BFA,AUS,28.953
BFA,AUT,9.768
BFA,MDG,17.154
BFA,CPV,6.723
BFA,JOR,33.605
BFA,NIC,1.058
BFA,BGR,28.461
BFA,KEN,4.392
BFA,NAM,10.261
BFA,COG,2.117
BFA,KOR,12.291
BFA,TCD,33.212
BGD,BWA,0.214
BGD,SYC,182.068
BGD,LAO,24.255
BGD,KIR,144.852
BGD,GNQ,5.66
BGD,BFA,102.666
BGD,BTN,26.579
BGD,BDI,45.572
BGD,NER,211.528
BGD,AZE,1.4700000000000002
BGD,ISL,85.059
BGD,ARM,7.748
BGD,LSO,0.54
BGD,MWI,89.762
BGD,MKD,20.802
BGD,CAF,41.109
BGD,PRK,58.855
BGD,VUT,132.974
BGD,HTI,118.782
BGD,BRN,70.65100000000001
BGD,MDA,134.992
BGD,DMA,5.772
BGD,ZMB,218.582
BGD,JAM,199.302
BGD,TTO,135.00799999999998
BGD,GUY,15.811
BGD,CPV,18.413
BGD,FJI,128.23
BGD,ALB,127.775
BGD,TON,4.819
BGD,MHL,111.398
BGD,BOL,49.184
BGD,COM,68.645
BGD,STP,28.598
BGD,RWA,115.256
BGD,IRQ,248.241
BGD,WSM,3.807
BGD,NAM,68.012
BGD,ZWE,8.632
BGD,TJK,195.275
BGD,GRD,15.128
BGD,ECU,207.609
BGD,GEO,215.531
BGD,TCD,188.917
BGR,BWA,2.673
BGR,SYC,6.447
BGR,BFA,122.986
BGR,BDI,4.737
BGR,URY,222.967
BGR,GNB,13.643
BGR,HND,11.347
BGR,LCA,0.47
BGR,CAF,99.58
BGR,GMB,31.024
BGR,VUT,15.575
BGR,BRN,12.073
BGR,DMA,9.996
BGR,MDV,40.035
BGR,TTO,82.14600000000002
BGR,MDG,83.862
BGR,GUY,25.29
BGR,CPV,74.416
BGR,FJI,57.59
BGR,BOL,152.578
BGR,NIC,54.844
BGR,RWA,0.417
BGR,GRD,1.806
BGR,PRY,214.132
BGR,TCD,15.811
BHR,HRV,89.84799999999998
BHR,LUX,76.875
BHR,GHA,82.35300000000001
BHR,BDI,22.739
BHR,MMR,35.984
BHR,AFG,28.455
BHR,SVN,47.872
BHR,HTI,29.514
BHR,NPL,42.167
BHR,CPV,3.779
BHR,FJI,9.915
BHR,VEN,44.655
BHR,ECU,87.347
BHR,KAZ,5.021
BHS,CRI,3.28
BHS,HUN,1.08
BHS,MLT,6.0
BHS,SUR,1.1769999999999998
BHS,DMA,3.0
BHS,VEN,6.0
BHS,TZA,5.0
BHS,CYP,1.3
BHS,LKA,3.772
BHS,NGA,9.13
BHS,KEN,1.48
BHS,GRD,12.421
BIH,THA,31.128
BIH,BLR,4.972
BIH,KIR,39.632
BIH,VNM,45.686
BIH,GHA,3.288
BIH,SEN,20.227
BIH,ETH,21.311
BIH,PER,24.185
BIH,SLV,19.926
BIH,MMR,0.454
BIH,URY,16.963
BIH,MNG,19.789
BIH,ISL,2.505
BIH,CMR,15.33
BIH,LCA,0.863
BIH,MLI,18.086
BIH,MRT,15.125
BIH,SUR,25.463
BIH,BRN,0.313
BIH,NZL,22.236
BIH,ZMB,0.01
BIH,GTM,19.695
BIH,TGO,26.711
BIH,CHL,20.802
BIH,BGD,40.665
BIH,UGA,0.086
BIH,LBR,1.605
BIH,GAB,29.738
BIH,NIC,1.497
BIH,NGA,40.097
BIH,OMN,39.578
BIH,KEN,43.117
BIH,ZWE,2.597
BIH,TJK,0.974
BIH,COG,47.107
BIH,ECU,8.872
BLR,SYC,5.7
BLR,LBY,179.89999999999998
BLR,GNQ,397.7
BLR,NER,3.6
BLR,KHM,50.3
BLR,MWI,0.7999999999999999
BLR,CAF,60.9
BLR,DOM,262.6
BLR,MLT,71.2
BLR,SLE,125.3
BLR,SUR,264.3
BLR,BRN,7.0
BLR,NZL,227.00000000000003
BLR,NPL,19.6
BLR,JAM,2.2
BLR,TTO,114.7
BLR,GUY,163.8
BLR,CPV,20.5
BLR,ALB,1.9
BLR,PAN,192.7
BLR,BEN,250.0
BLR,BHR,8.8
BLR,UGA,72.6
BLR,BOL,45.5
BLR,KEN,40.8
BLR,ZWE,120.5
BLZ,COL,0.3
BLZ,VNM,0.416
BLZ,NER,0.3
BLZ,PRK,2.825
BLZ,PAK,1.355
BLZ,ZAF,5.769
BLZ,PNG,2.499
BOL,GHA,2.42548
BOL,LBN,82.87219999999999
BOL,SEN,3.738
BOL,ETH,51.0023
BOL,BDI,6.0
BOL,NER,36.9
BOL,SWZ,5.195
BOL,ISL,10.44321
BOL,UKR,141.437
BOL,BLZ,14.54813
BOL,CMR,38.632940000000005
BOL,SGP,77.04867
BOL,HUN,3.2675
BOL,CAF,21.313
BOL,PRK,37.956
BOL,SAU,111.03657
BOL,MLT,25.2894
BOL,LVA,128.60932
BOL,CIV,123.93800000000002
BOL,HTI,112.79405
BOL,MOZ,22.69344
BOL,FJI,4.116
BOL,ALB,69.84922999999999
BOL,TZA,0.9775
BOL,BEN,125.27036
BOL,KWT,1.87646
BOL,CYP,10.49271
BOL,BHS,45.971900000000005
BOL,PNG,11.997
BOL,NGA,2.5746
BOL,OMN,0.85589
BOL,GRC,88.0
BOL,PHL,51.1941
BOL,CZE,9.83176
BOL,KAZ,1.6787
BRA,BWA,1269.82
BRA,LAO,273.084
BRA,KIR,174.126
BRA,BDI,228.797
BRA,KNA,1625.708
BRA,NER,2053.839
BRA,MWI,2356.154
BRA,FSM,63.148
