country_iso3,merchandise_of_gdp
AFG,44.10762764
ALB,56.81650436
DZA,57.21055428
ASM,135.8934169
AGO,69.18154846
ATG,48.41515905
ARG,27.24604172
ARM,53.56308354
ABW,60.70631338
AUS,31.41263033
AUT,83.34319358
AZE,56.6632773
BHS,38.99360357
BHR,98.1177686
BGD,44.13547632
BRB,47.38079966
BLR,106.2202319
BEL,176.4496991
BLZ,97.31474289
BEN,39.87906823
BMU,15.83728183
BTN,82.73471356
BOL,68.47831937
BIH,87.91702631
BWA,109.1348259
BRA,19.92027748
BRN,83.22726622
BGR,114.8638735
BFA,49.99144195
BDI,36.91428732
CPV,42.90801698
KHM,106.5209428
CMR,34.50221218
CAN,50.58465852
CYM,23.40015013
CAF,19.44968493
TCD,52.4953207
CHL,56.08181987
CHN,43.45682824
COL,30.93850058
COM,27.32426204
COD,38.24999212
COG,104.853518
CRI,58.11028554
CIV,78.44447778
HRV,59.59541984
CUB,25.91123555
CUW,82.95166352
CYP,34.86483582
CZE,144.8057761
DNK,60.62469805
DJI,41.07073385
DMA,47.76274714
DOM,42.3150676
ECU,54.65593018
EGY,33.0051118
SLV,73.95308165
GNQ,94.78407703
EST,137.6417245
ETH,31.5751623
FRO,83.84488824
FJI,93.88700592
FIN,56.03215908
FRA,44.90911043
GAB,78.38826653
GMB,35.18441762
GEO,63.60259014
DEU,70.35843845
GHA,49.90525475
GRC,40.673161
GRL,55.75517159
GRD,48.06436432
GUM,13.42841267
GTM,51.97131668
GIN,44.8271828
GNB,32.11968658
GUY,77.97875604
HTI,30.79718137
HND,101.5475371
HKG,419.9623154
HUN,153.3205783
ISL,62.12689863
IND,42.02271255
IDN,40.45712164
IRN,29.83663785
IRQ,67.41031674
IRL,79.15462635
ISR,47.04901079
ITA,46.59355805
JAM,54.57718278
JPN,30.03002265
JOR,85.53034059
KAZ,56.41864167
KEN,40.31818365
KIR,56.18162
KOR,78.43739167
KWT,82.91344324
KGZ,110.8107624
LAO,44.75713307
LVA,106.226925
LBN,57.97140361
LSO,127.6660549
LBR,55.72220411
LBY,111.4729779
LTU,144.8818679
LUX,73.10248388
MAC,21.88360233
MKD,100.9465402
MDG,41.7191278
MWI,73.43880344
MYS,134.3206558
MDV,62.64014781
MLI,46.41050524
MLT,92.67735038
MHL,114.693541
MRT,91.78931215
MUS,68.14701192
MEX,60.49544379
FSM,70.29945677
MDA,83.39752502
MNG,84.46110672
MNE,63.8596965
MAR,62.87066831
MOZ,83.20215208
MMR,40.00999753
NAM,101.7165063
NPL,33.61578268
NLD,143.827024
NZL,41.42654591
NIC,104.5435825
NER,35.2668557
NGA,28.81010963
MNP,43.9119171
NOR,47.02526582
OMN,114.3495489
PAK,30.17404737
PLW,79.59579807
PAN,82.71947965
PNG,53.43478077
PRY,55.87905411
PER,43.0126995
PHL,43.11441484
POL,79.18965866
PRT,61.20170726
QAT,82.46915102
ROU,73.01625632
RUS,37.64951243
RWA,38.44874599
WSM,55.71271824
STP,54.89853221
SAU,72.86266565
SEN,48.69792993
SRB,72.64707614
SYC,124.9851666
SLE,75.13703523
SGP,254.6574121
SXM,106.4762583
SVK,169.5683394
SVN,139.2342128
SLB,79.70739154
ZAF,60.6502657
ESP,48.60139416
LKA,37.95994704
KNA,36.31945241
LCA,47.69293704
VCT,58.09701837
SDN,28.71795605
SUR,89.19969378
SWZ,78.03897023
SWE,55.91949786
CHE,95.3157191
TJK,62.88712752
TZA,36.44878693
THA,113.9362764
TLS,61.69722841
TGO,99.29065019
TON,47.70954092
TTO,115.0559241
TUN,89.35360065
TUR,44.0918236
TKM,68.37163088
TUV,55.98645111
UGA,28.57080827
UKR,76.98700961
ARE,165.2859551
GBR,43.4353553
USA,23.28679248
URY,35.9960995
UZB,36.43337923
VUT,46.41934944
VEN,37.06846517
VNM,154.2243177
YEM,53.37838472
ZMB,75.58875412
ZWE,58.26299485
