country_iso3,population
AFG,32269592.0
ALB,2895092.0
DZA,38140135.0
ASM,55717.0
AND,80770.0
AGO,26015786.0
ATG,91510.0
ARG,42202935.0
ARM,2897593.0
ABW,103165.0
AUS,23128129.0
AUT,8479823.0
AZE,9416801.0
BHS,367162.0
BHR,1315029.0
BGD,152761413.0
BRB,284294.0
BLR,9465997.0
BEL,11159407.0
BLZ,345707.0
BEN,10004594.0
BMU,65001.0
BTN,710235.0
BOL,10542375.0
BIH,3542598.0
BWA,2062551.0
BRA,201035904.0
VGB,28850.0
BRN,404414.0
BGR,7265115.0
BFA,17072791.0
BDI,9540302.0
CPV,511740.0
KHM,15026330.0
CMR,22077300.0
CAN,35082954.0
CYM,59933.0
CAF,4447945.0
TCD,13220433.0
CHI,163039.0
CHL,17571511.0
CHN,1357380000.0
COL,46495492.0
COM,741511.0
COD,71358804.0
COG,4622757.0
CRI,4742111.0
CIV,22087506.0
HRV,4255689.0
CUB,11282722.0
CUW,153822.0
CYP,1143866.0
CZE,10514272.0
DNK,5614932.0
DJI,883296.0
DMA,71019.0
DOM,10048226.0
ECU,15707473.0
EGY,88404652.0
SLV,6266076.0
GNQ,1076412.0
EST,1317997.0
ETH,95385793.0
FRO,47901.0
FJI,865602.0
FIN,5438972.0
FRA,65998685.0
PYF,270332.0
GAB,1817070.0
GMB,1963708.0
GEO,3717668.0
DEU,80645605.0
GHA,26607641.0
GIB,33694.0
GRC,10965211.0
GRL,56483.0
GRD,108172.0
GUM,160415.0
GTM,15043981.0
GIN,10892821.0
GNB,1648259.0
GUY,759281.0
HTI,10400672.0
HND,8798524.0
HKG,7178900.0
HUN,9893082.0
ISL,323764.0
IND,1280842119.0
IDN,251805314.0
IRN,76481963.0
IRQ,33157061.0
IRL,4623816.0
IMN,83985.0
ISR,8059500.0
ITA,60233948.0
JAM,2858710.0
JPN,127445000.0
JOR,8518992.0
KAZ,17035551.0
KEN,45519986.0
KIR,107887.0
PRK,24929500.0
KOR,50428893.0
XKX,1818117.0
KWT,3526382.0
KGZ,5719600.0
LAO,6541302.0
LVA,2012647.0
LBN,5913016.0
LSO,2028528.0
LBR,4248337.0
LBY,6320350.0
LIE,36940.0
LTU,2957689.0
LUX,543360.0
MAC,577368.0
MKD,2076065.0
MDG,22961259.0
MWI,15839287.0
MYS,29468923.0
MDV,415592.0
MLI,16449854.0
MLT,425967.0
MHL,56933.0
MRT,3817497.0
MUS,1258653.0
MEX,118827158.0
FSM,105922.0
MDA,2858692.0
MCO,36899.0
MNG,2881783.0
MNE,621207.0
MAR,33715705.0
MOZ,25560752.0
MMR,51852464.0
NAM,2233506.0
NRU,10208.0
NPL,26916795.0
NLD,16804432.0
NCL,263650.0
NZL,4442100.0
NIC,6062462.0
NER,18504287.0
NGA,171765819.0
MNP,54786.0
NOR,5079623.0
OMN,3764805.0
PAK,191260799.0
PLW,17603.0
PAN,3835447.0
PNG,7788388.0
PRY,6510273.0
PER,29773986.0
PHL,98871558.0
POL,38040196.0
PRT,10457295.0
PRI,3593077.0
QAT,2336579.0
ROU,19983693.0
RUS,143506995.0
RWA,10811538.0
WSM,190712.0
SMR,32554.0
STP,192076.0
SAU,30052058.0
SEN,13782429.0
SRB,7164132.0
SYC,89949.0
SLE,6863975.0
SGP,5399162.0
SXM,36607.0
SVK,5413393.0
SVN,2059953.0
SLB,571329.0
SOM,13063711.0
ZAF,53687125.0
SSD,10355030.0
ESP,46620045.0
LKA,20585000.0
KNA,50328.0
LCA,177505.0
MAF,36458.0
VCT,108624.0
SDN,37072555.0
SUR,547295.0
SWZ,1086843.0
SWE,9600379.0
CHE,8089346.0
SYR,19578466.0
TJK,8059782.0
TZA,48483132.0
THA,68144519.0
TLS,1153288.0
TGO,6954721.0
TON,101768.0
TTO,1353708.0
TUN,10952949.0
TUR,75925454.0
TKM,5366376.0
TCA,34733.0
TUV,10849.0
UGA,35694519.0
UKR,45489648.0
ARE,9197908.0
GBR,64128273.0
USA,316059947.0
URY,3389436.0
UZB,30243200.0
VUT,256637.0
VEN,29781046.0
VNM,90752593.0
VIR,108041.0
PSE,4076708.0
YEM,25147112.0
ZMB,14926551.0
ZWE,13350378.0
