country_iso3,industry_of_gdp
AFG,20.44460531
ALB,23.0613369
DZA,44.25329676
AGO,53.36285398
ATG,15.68226063
ARG,24.00588144
ARM,26.70904814
AUS,25.12798549
AUT,25.52494179
AZE,57.05441545
BHS,12.82597176
BHR,47.94537566
BGD,26.30707016
BLR,35.90385104
BEL,19.87919976
BLZ,17.01068577
BEN,17.24370929
BMU,5.299009118
BTN,43.36691194
BOL,28.5181929
BIH,22.32367869
BWA,31.48264728
BRA,21.22482871
BRN,70.02517779
BGR,23.21080449
BFA,24.09575158
BDI,15.58468197
CPV,17.51543391
KHM,24.06765417
CMR,27.63050269
CAN,26.61323518
CYM,6.923950601
CAF,24.19130699
TCD,13.32971956
CHL,31.1937573
CHN,44.17670454
COL,32.74755529
COM,11.64828999
COD,41.28634596
COG,61.98930708
CRI,21.34497248
CIV,25.95105232
HRV,21.43382123
CUB,23.1503085
CUW,16.41727099
CYP,10.76026424
CZE,32.64607051
DNK,20.06180735
DJI,11.44768689
DMA,12.31975621
DOM,29.24893357
ECU,37.14612811
EGY,39.88695979
SLV,26.12158536
GNQ,72.44925774
EST,25.1866982
ETH,10.94455699
FRO,14.32802641
FJI,16.33721435
FIN,23.32163605
FRA,17.97180129
GAB,56.60861687
GMB,11.89469631
GEO,18.512858
DEU,26.78261334
GHA,34.08982225
GRC,15.08221499
GRL,18.13322723
GRD,13.39788331
GTM,22.95294843
GIN,29.64071455
GNB,14.42470654
GUY,25.62806591
HTI,25.93305046
HND,25.40931972
HKG,6.947699229
HUN,25.09969324
ISL,21.14002897
IND,28.40489956
IDN,42.63567744
IRN,42.88103081
IRQ,57.69152679
IRL,24.33199535
IMN,9.012033149
ISR,20.60137749
ITA,21.17245852
JAM,18.09906598
JPN,26.9376337
JOR,25.64065978
KAZ,33.69881564
KEN,18.02414707
KIR,14.472648
KOR,34.44782919
XKX,23.50619532
KWT,73.09873441
KGZ,24.84359467
LAO,30.42770755
LVA,20.28212198
LBN,16.34163991
LSO,29.02324164
LBR,15.75802739
LIE,39.30458267
LTU,27.39489367
LUX,10.90496985
MAC,3.719346479
MKD,22.14046476
MDG,12.44809679
MWI,14.78394543
MYS,39.88537365
MDV,8.058403066
MLI,17.184553
MLT,14.58717991
MHL,13.03465043
MRT,38.60977013
MUS,20.6005956
MEX,31.85631756
FSM,7.306225695
MDA,21.60325673
MCO,13.98095624
MNG,30.50689238
MNE,15.4572426
MAR,26.1685022
MOZ,16.34875133
MMR,32.3622196
NAM,26.54834346
NRU,40.43270833
NPL,13.79833756
NLD,19.33416406
NZL,20.2875516
NIC,25.38725003
NER,26.04650195
NGA,25.74232124
NOR,35.63947143
OMN,67.4689875
PAK,20.21693641
PLW,7.329913729
PAN,25.13755513
PNG,26.54078167
PRY,32.91257904
PER,33.85943675
PHL,30.77544663
POL,28.3687491
PRT,18.86789483
PRI,49.26393363
QAT,71.76825132
ROU,32.35790854
RUS,28.19128918
RWA,17.60116252
WSM,18.23644406
STP,15.73752108
SAU,59.86247398
SEN,24.29421252
SRB,26.83981234
SYC,12.62216628
SLE,21.22851294
SGP,23.44522298
SXM,11.26160568
SVK,28.7422899
SVN,27.48895447
ZAF,26.66809154
SSD,22.22482785
ESP,20.27955168
LKA,29.16275801
KNA,20.52853955
LCA,10.52857736
VCT,15.33488081
SDN,20.89953854
SUR,32.25369531
SWZ,35.6451216
SWE,22.06833913
CHE,24.95949281
TJK,23.11516465
TZA,25.44674503
THA,36.89858846
TLS,20.09923723
TGO,17.63003733
TON,15.87143086
TTO,48.24558757
TUN,28.77100697
TUR,27.67999218
TKM,63.42771208
TCA,9.831803754
TUV,7.712106744
UGA,24.57097183
UKR,22.66963236
ARE,55.00612581
GBR,18.93103324
USA,19.25820128
URY,23.66924034
UZB,22.58546675
VUT,8.316130112
VEN,44.72616122
VNM,33.19004024
PSE,18.55869187
YEM,43.88085892
ZMB,32.55644911
ZWE,23.79961521
LBY,80
