country_iso3,gni_atlas
AFG,21249374021.0
ALB,13156878985.0
DZA,210000589319.0
AGO,124418717059.0
ATG,1154411975.0
ARG,541952763581.0
ARM,11911914318.0
ABW,2528399467.0
AUS,1526863400178.0
AUT,429923727985.0
AZE,69737335416.0
BHS,10441127334.0
BHR,31282350546.0
BGD,158833016482.0
BRB,4452584650.0
BLR,66337138673.0
BEL,534270156775.0
BLZ,1444093754.0
BEN,12214953761.0
BMU,6614504761.0
BTN,1714626354.0
BOL,27255049589.0
BIH,18665130578.0
BWA,15613701335.0
BRA,2571096779327.0
BRN,18329057758.0
BGR,55165122298.0
BFA,13218407264.0
BDI,2477681780.0
CPV,1788290981.0
KHM,14539145937.0
CMR,31500575216.0
CAN,1852504823000.0
CYM,2638823987.0
CAF,1670496471.0
TCD,12850832969.0
CHL,266319079013.0
CHN,9193814741109.0
COL,369680450805.0
COM,1104985440.0
COD,29063367736.0
COG,17304532917.0
CRI,47105063486.0
CIV,29272751494.0
HRV,57792372085.0
CUB,74969137046.0
CUW,3065859671.0
CYP,23984476143.0
CZE,204097513119.0
DNK,354890532646.0
DMA,481236095.3
DOM,60588545853.0
ECU,91335437730.0
EGY,267961113982.0
SLV,20964514674.0
GNQ,15099256046.0
EST,24053402338.0
ETH,44574863494.0
FJI,4080892996.0
FIN,269133981895.0
FRA,2889474971238.0
GAB,16960100427.0
GMB,1433030068.0
GEO,16836858019.0
DEU,3805954470662.0
GHA,49028689328.0
GRC,245264084043.0
GRD,795575152.6
GTM,50804504399.0
GIN,7611229261.0
GNB,1050179957.0
GUY,4208501529.0
HTI,14207869974.0
HND,17686940869.0
HKG,276908401089.0
HUN,133581664026.0
ISL,15205106971.0
IND,1941116422169.0
IDN,939754625214.0
IRN,534302854546.0
IRQ,233719661734.0
IRL,200817028434.0
IMN,7377533338.0
ISR,276641221715.0
ITA,2141246436335.0
JAM,14329598757.0
JPN,6152741865333.0
JOR,32620735661.0
KAZ,201747227502.0
KEN,51365587627.0
KIR,321871907.4
KOR,1360356680289.0
XKX,7204432158.0
KWT,187100390066.0
KGZ,6829130111.0
LAO,10532187240.0
LVA,30127248513.0
LBN,45171503131.0
LSO,2956474307.0
LBR,2682520825.0
LBY,67918207235.0
LTU,45363126790.0
LUX,41025537211.0
MAC,40132754680.0
MKD,10379235148.0
MDG,11908854224.0
MWI,6451260033.0
MYS,319543900683.0
MDV,2827269980.0
MLI,12753694421.0
MLT,9954137500.0
MHL,220943805.3
MRT,7074882455.0
MUS,13242526284.0
MEX,1220178664786.0
FSM,336936598.4
MDA,10360129485.0
MNG,12492493837.0
MNE,4554033370.0
MAR,105816420636.0
MOZ,17099858983.0
MMR,58263619392.0
NAM,13278816389.0
NRU,132686833.1
NPL,23045812873.0
NLD,889823480492.0
NZL,177362764377.0
NIC,10561262613.0
NER,10628681334.0
NGA,461617004874.0
NOR,529236688936.0
OMN,76456274077.0
PAK,230806101147.0
PLW,226511490.3
PAN,40778380565.0
PNG,19432910165.0
PRY,35873508893.0
PER,191005577953.0
PHL,312617279214.0
POL,509339050426.0
PRT,223483989897.0
PRI,68861354215.0
QAT,185505224214.0
ROU,186233006035.0
RUS,2179428224723.0
RWA,7832938787.0
WSM,724056701.6
STP,274932466.5
SAU,764395043844.0
SEN,18525781406.0
SRB,46261724751.0
SYC,1142512866.0
SLE,4533244168.0
SGP,294123051721.0
SXM,1008000080.0
SVK,98776647031.0
SVN,47854975721.0
SLB,1234965165.0
ZAF,394406682361.0
SSD,12051428874.0
ESP,1361813989355.0
LKA,71920817464.0
KNA,836006110.5
LCA,1559589342.0
VCT,712022075.1
SDN,52073082843.0
SUR,4898303134.0
SWZ,4801075159.0
SWE,593346155375.0
CHE,741755121853.0
TJK,10691505229.0
TZA,41847877220.0
THA,389996590808.0
TLS,3690734712.0
TGO,4336717910.0
TON,462430949.6
TTO,25375491935.0
TUN,45527321857.0
TUR,956923293527.0
TKM,34929613726.0
TUV,60318712.0
UGA,28694330601.0
UKR,172794114861.0
ARE,394073667472.0
GBR,2739904295079.0
USA,17045588721150.0
URY,51949155400.0
UZB,69474767997.0
VUT,771173575.9
VEN,356606570437.0
VNM,156269151045.0
PSE,14150619728.0
YEM,36138844140.0
ZMB,26269073766.0
ZWE,16156296121.0
