country_iso3,population
AFG,34413603.0
ALB,2880703.0
DZA,39728020.0
ASM,55806.0
AND,77993.0
AGO,27884380.0
ATG,93571.0
ARG,43131966.0
ARM,2925559.0
ABW,104339.0
AUS,23815995.0
AUT,8642699.0
AZE,9649341.0
BHS,374200.0
BHR,1371853.0
BGD,156256287.0
BRB,285327.0
BLR,9489616.0
BEL,11274196.0
BLZ,360926.0
BEN,10575962.0
BMU,65237.0
BTN,727885.0
BOL,10869732.0
BIH,3429362.0
BWA,2120716.0
BRA,204471759.0
VGB,29148.0
BRN,414914.0
BGR,7177991.0
BFA,18110616.0
BDI,10160034.0
CPV,524740.0
KHM,15521435.0
CMR,23298376.0
CAN,35702908.0
CYM,61721.0
CAF,4493171.0
TCD,14110971.0
CHI,165387.0
CHL,17969356.0
CHN,1371220000.0
COL,47520667.0
COM,777435.0
COD,76244532.0
COG,4856093.0
CRI,4847805.0
CIV,23226148.0
HRV,4203604.0
CUB,11324777.0
CUW,157980.0
CYP,1160987.0
CZE,10546059.0
DNK,5683483.0
DJI,913998.0
DMA,71175.0
DOM,10281675.0
ECU,16212022.0
EGY,92442549.0
SLV,6325121.0
GNQ,1168575.0
EST,1315407.0
ETH,100835453.0
FRO,48055.0
FJI,868632.0
FIN,5479531.0
FRA,66548272.0
PYF,273119.0
GAB,1947690.0
GMB,2085860.0
GEO,3725276.0
DEU,81686611.0
GHA,27849203.0
GIB,33742.0
GRC,10820883.0
GRL,56114.0
GRD,109603.0
GUM,161851.0
GTM,15567419.0
GIN,11432096.0
GNB,1737207.0
GUY,767433.0
HTI,10695540.0
HND,9112904.0
HKG,7291300.0
HUN,9843028.0
ISL,330815.0
IND,1310152392.0
IDN,258383257.0
IRN,78492208.0
IRQ,35572269.0
IRL,4701957.0
IMN,83232.0
ISR,8380100.0
ITA,60730582.0
JAM,2891024.0
JPN,127141000.0
JOR,9266573.0
KAZ,17542806.0
KEN,47878339.0
KIR,110927.0
PRK,25183832.0
KOR,51014947.0
XKX,1788196.0
KWT,3835588.0
KGZ,5956900.0
LAO,6741160.0
LVA,1977527.0
LBN,6532681.0
LSO,2059011.0
LBR,4472229.0
LBY,6418315.0
LIE,37465.0
LTU,2904910.0
LUX,569604.0
MAC,602093.0
MKD,2079335.0
MDG,24234080.0
MWI,16745305.0
MYS,30270965.0
MDV,454914.0
MLI,17438772.0
MLT,445053.0
MHL,57444.0
MRT,4046304.0
MUS,1262605.0
MEX,121858251.0
FSM,108886.0
MDA,2834530.0
MCO,37723.0
MNG,2998433.0
MNE,622159.0
MAR,34663608.0
MOZ,27042001.0
MMR,52680724.0
NAM,2314901.0
NRU,10374.0
NPL,27015033.0
NLD,16939923.0
NCL,268700.0
NZL,4609400.0
NIC,6223234.0
NER,20001663.0
NGA,181137454.0
MNP,55779.0
NOR,5188607.0
OMN,4267341.0
PAK,199426953.0
PLW,17665.0
PAN,3968490.0
PNG,8107772.0
PRY,6688746.0
PER,30470739.0
PHL,102113206.0
POL,37986412.0
PRT,10358076.0
PRI,3473232.0
QAT,2565708.0
ROU,19815616.0
RUS,144096870.0
RWA,11369066.0
WSM,193510.0
SMR,33270.0
STP,199439.0
SAU,31717676.0
SEN,14578450.0
SRB,7095383.0
SYC,93419.0
SLE,7171909.0
SGP,5535002.0
SXM,38825.0
SVK,5423801.0
SVN,2063531.0
SLB,603133.0
SOM,13797204.0
ZAF,55386369.0
SSD,10715657.0
ESP,46444832.0
LKA,20970000.0
KNA,51204.0
LCA,179131.0
MAF,35865.0
VCT,109135.0
SDN,38902948.0
SUR,559136.0
SWZ,1104038.0
SWE,9799186.0
CHE,8282396.0
SYR,17997411.0
TJK,8454019.0
TZA,51482638.0
THA,68714519.0
TLS,1196294.0
TGO,7323162.0
TON,100780.0
TTO,1370332.0
TUN,11179951.0
TUR,78529413.0
TKM,5565283.0
TCA,35979.0
TUV,11099.0
UGA,38225447.0
UKR,45154036.0
ARE,9262896.0
GBR,65116219.0
USA,320738994.0
URY,3412013.0
UZB,31298900.0
VUT,271128.0
VEN,30081827.0
VNM,92677082.0
VIR,107712.0
PSE,4270092.0
YEM,26497881.0
ZMB,15879370.0
ZWE,13814642.0
