country_iso3,net_barter_of_trade
AFG,152.2335065
ALB,92.65394254
DZA,188.3084621
ASM,155.093488
AGO,137.4660466
ATG,55.89818757
ARG,146.3443414
ARM,118.5089449
ABW,93.71292479
AUS,148.1965091
AUT,88.49922641
AZE,119.8082918
BHS,81.06273622
BHR,130.3197412
BGD,68.99045857
BRB,121.7169082
BLR,98.81150801
BEL,95.64220047
BLZ,93.05457606
BEN,119.5880978
BMU,103.8244582
BTN,117.497422
BOL,109.1844441
BIH,103.1253283
BWA,90.60780893
BRA,106.4142912
VGB,54.29108968
BRN,152.612246
BGR,111.7467553
BFA,126.1303463
BDI,145.5109372
CPV,108.1694164
KHM,75.07976437
CMR,139.743462
CAN,102.9364752
CYM,62.92699593
CAF,78.06449554
TCD,126.1108235
CHL,187.0832936
CHN,92.53344984
COL,110.5106749
COM,137.3650485
COD,108.9640282
COG,165.3821674
CRI,99.90114876
CIV,172.028851
HRV,100.1869237
CUB,165.6489592
CYP,92.45742353
CZE,103.937475
DNK,100.8986677
DJI,101.0755816
DMA,104.7550973
DOM,109.3756591
ECU,118.9225335
EGY,144.8927869
SLV,94.58358485
GNQ,142.0181458
ERI,83.18112606
EST,94.12890382
ETH,139.9125262
FRO,111.3391168
FJI,108.961394
FIN,92.70763578
FRA,91.16919633
PYF,87.58224075
GAB,143.9722072
GMB,104.0943992
GEO,137.5521703
DEU,99.77576049
GHA,178.2055095
GIB,53.55411495
GRC,89.84268084
GRL,85.64428876
GRD,108.3896654
GUM,103.3750013
GTM,171.8265134
GIN,99.46276203
GNB,93.10422561
GUY,117.2699143
HTI,265.9189468
HND,127.3988486
HKG,96.824469
HUN,100.8207672
ISL,94.6832755
IND,104.2283051
IDN,116.1478699
IRN,139.2929122
IRQ,122.7965236
IRL,96.68188659
ISR,112.0266127
ITA,102.698258
JAM,85.65263977
JPN,66.66666667
JOR,79.28900117
KAZ,150.8364068
KEN,102.7721788
KIR,102.3898478
PRK,66.64167835
KOR,59.02676024
KWT,137.4978497
KGZ,121.3890289
LAO,96.06495418
LVA,105.1109852
LBN,104.2067927
LSO,85.10406329
LBR,126.5177235
LBY,135.188248
LTU,98.50105395
LUX,75.74993753
MAC,88.7987225
MKD,96.77532886
MDG,85.03812266
MWI,113.6412235
MYS,108.4782183
MDV,100.7441326
MLI,156.5409823
MLT,138.2553308
MHL,108.2275146
MRT,124.0857947
MUS,119.0235418
MEX,93.55396074
FSM,108.0577838
MDA,72.39673133
MNG,149.1270021
MAR,117.6284646
MOZ,89.67159162
MMR,100.1967444
NAM,126.6879805
NRU,152.6926792
NPL,85.13037453
NLD,93.77183967
NCL,163.7857064
NZL,134.8614076
NIC,206.5980803
NER,171.2281366
NGA,138.4680128
MNP,84.07679906
NOR,123.1962762
OMN,147.5112507
PAK,49.82010906
PLW,96.90590275
PAN,162.1443795
PNG,168.7125148
PRY,127.2500402
PER,163.5683002
PHL,82.16603765
POL,100.1040102
PRT,95.96141038
QAT,153.1283796
ROU,109.2347139
RUS,138.4996916
RWA,173.232393
WSM,83.39402557
STP,137.2742209
SAU,91.45958044
SEN,108.6438901
SRB,114.9845035
SYC,81.82294942
SLE,47.89253252
SGP,87.62251704
SVK,92.35860409
SVN,95.95970196
SLB,92.00382446
SOM,92.17569234
ZAF,140.0047719
ESP,92.3405577
LKA,110.0882088
KNA,69.94500727
LCA,110.578959
VCT,107.8033297
SDN,180.5727276
SUR,126.6820613
SWZ,110.2425604
SWE,92.4138947
CHE,107.8572424
SYR,150.0837447
TJK,82.85400626
TZA,158.1840025
THA,102.1271742
TGO,115.1750732
TON,113.6042878
TTO,138.8331324
TUN,104.2863638
TUR,98.25700289
TKM,172.7565323
TCA,64.00381359
UGA,117.5015338
UKR,83.58724924
ARE,148.5987821
GBR,96.79833371
USA,100.0
URY,117.3336141
UZB,153.0548751
VUT,101.4385209
VEN,218.9207337
VNM,131.4520467
PSE,85.77883685
YEM,139.2722532
ZMB,162.308376
ZWE,110.516422
