country_iso3,merchandise_of_gdp
AFG,41.66350318
ALB,54.61564884
DZA,52.03664889
ASM,156.6121842
AND,49.60804292
AGO,46.36570106
ATG,38.52793102
ARG,19.67030526
ARM,44.76308962
ABW,53.58622653
AUS,29.31025843
AUT,80.86951141
AZE,48.62799081
BHS,29.67346381
BHR,93.22835725
BGD,38.15178599
BRB,44.55991516
BLR,100.8808218
BEL,167.1257245
BLZ,88.80752277
BEN,37.25799101
BMU,14.36612984
BTN,80.35543202
BOL,56.036027
BIH,86.87637583
BWA,93.99058378
BRA,20.54278367
BRN,74.10446507
BGR,107.7566744
BFA,44.42130872
BDI,31.50372506
CPV,42.02153553
KHM,120.7925497
CMR,32.6655019
CAN,53.97887832
CYM,22.32210777
CAF,25.47431593
TCD,55.94320164
CHL,51.00994981
CHN,35.73669964
COL,30.58077735
COM,23.91231077
COD,31.91121412
COG,161.3144982
CRI,45.52467575
CIV,46.40874825
HRV,67.63350719
CUB,17.27474091
CUW,63.39011914
CYP,51.99974681
CZE,159.1432992
DNK,59.82692794
DJI,41.35312414
DMA,45.12359674
DOM,37.02531399
ECU,40.13379705
EGY,25.78373338
SLV,67.419738
GNQ,76.03050602
EST,118.6913147
ETH,30.37033901
FRO,76.77618078
FJI,63.55515678
FIN,51.2911442
FRA,44.17268936
GAB,57.59534146
GMB,38.81940064
GEO,63.55511183
DEU,70.83346372
GHA,50.0769421
GRC,38.57299489
GRL,42.93518836
GRD,40.62154266
GUM,12.70908777
GTM,45.53583611
GIN,45.1774908
GNB,43.78811542
GUY,61.75463981
HTI,30.72545837
HND,92.4748081
HKG,345.6084636
HUN,152.3070857
ISL,57.26368356
IND,31.4739416
IDN,34.04304562
IRN,29.92896666
IRQ,69.61152437
IRL,68.72142541
ISR,42.02550629
ITA,47.27432652
JAM,44.09069167
JPN,29.00205194
JOR,73.3614608
KAZ,41.50151889
KEN,34.3692755
KIR,74.21784656
KOR,65.71657676
KWT,74.26639312
KGZ,82.52250418
LAO,64.8208012
LVA,99.13855791
LBN,45.94971418
LSO,123.9956711
LBR,62.00818382
LBY,99.92410251
LTU,129.2792299
LUX,70.01191358
MAC,26.50230124
MKD,108.8544853
MDG,42.7712605
MWI,53.22276521
MYS,124.7443197
MDV,51.97779277
MLI,49.73000532
MLT,77.9249971
MHL,87.04437032
MRT,82.57041603
MUS,63.73432296
MEX,67.05808698
FSM,63.19316983
MDA,76.87310414
MNG,72.06190118
MNE,58.99309128
MAR,59.72930879
MOZ,73.64442866
MMR,46.96165919
NAM,103.7830935
NRU,117.5395973
NPL,30.26584262
NLD,141.4604184
NZL,39.8220934
NIC,93.27642619
NER,31.62433898
NGA,19.49781379
MNP,52.08791209
NOR,46.74398015
OMN,89.05841949
PAK,24.4891881
PLW,55.62336138
PAN,62.58249864
PNG,50.65474813
PRY,51.4976335
PER,38.11221271
PHL,43.5893889
POL,82.79345713
PRT,61.19041546
QAT,68.36962432
ROU,73.3807343
RUS,39.19658397
RWA,35.88221824
WSM,54.54725376
STP,48.40759999
SAU,57.80886425
SEN,46.1721955
SRB,78.80782841
SYC,102.069332
SLE,48.4032627
SGP,210.6056065
SXM,78.68259028
SVK,167.2737532
SVN,143.2902101
SLB,66.25548768
ZAF,58.45119779
ESP,49.71261153
LKA,36.57631195
KNA,38.13008521
LCA,41.48046802
VCT,50.30447445
SDN,19.66846221
SUR,71.78678847
SWZ,79.35685718
SWE,55.12154339
CHE,77.29791698
TJK,52.31244522
TZA,32.97480365
THA,103.9039875
TLS,37.38057971
TGO,80.05518135
TON,51.9443399
TTO,80.05253796
TUN,79.43292698
TUR,42.18372878
TKM,47.4864125
TCA,44.0519282
TUV,104.2486268
UGA,24.17195437
UKR,83.09700398
ARE,157.4528904
GBR,37.36561298
USA,20.93327164
URY,32.24256093
UZB,25.54020946
VUT,55.55019044
VNM,169.5679569
YEM,19.98817183
ZMB,68.42902285
ZWE,46.59091224
