country_iso3,life_expectancy
AFG,63.377
ALB,78.025
DZA,76.09
AGO,59.398
ATG,76.483
ARG,76.068
ARM,74.467
ABW,75.725
AUS,82.4
AUT,81.1902439
AZE,72.266
BHS,73.088
BHR,76.762
BGD,71.514
BRB,78.801
BLR,73.62439024
BEL,80.99268293
BLZ,74.034
BEN,60.608
BMU,81.01219512
BTN,70.419
BOL,70.277
BIH,76.865
BWA,67.338
BRA,74.994
BRN,75.318
BGR,74.61463415
BFA,59.919
BDI,60.123
CPV,72.117
KHM,68.637
CMR,57.583
CAN,81.9
CAF,50.881
TCD,53.137
CHI,82.429
CHL,79.646
CHN,75.928
COL,76.531
COM,63.471
COD,59.254
COG,63.097
CRI,79.565
CIV,56.065
HRV,77.27560976
CUB,78.561
CUW,78.07560976
CYP,80.35
CZE,78.57804878
DNK,80.70243902
DJI,64.136
DOM,73.241
ECU,76.143
EGY,71.302
SLV,72.412
GNQ,57.359
ERI,64.664
EST,77.5902439
ETH,65.048
FRO,81.84390244
FJI,67.103
FIN,81.4804878
FRA,82.32195122
PYF,76.787
GAB,64.913
GMB,60.91
GEO,72.973
DEU,80.64146341
GHA,62.772
GRC,81.03658537
GRL,71.24634146
GRD,72.445
GUM,79.144
GTM,73.25
GIN,59.598
GNB,56.959
GUY,69.262
HTI,62.485
HND,74.495
HKG,84.27804878
HUN,75.56829268
ISL,82.46829268
IND,68.607
IDN,70.768
IRN,75.796
IRQ,69.929
IRL,81.45365854
ISR,82.05121951
ITA,82.54390244
JAM,74.098
JPN,83.79390244
JOR,74.078
KAZ,71.97
KEN,64.798
KIR,67.291
PRK,71.481
KOR,82.02439024
XKX,71.49512195
KWT,75.13
KGZ,70.65121951
LAO,66.546
LVA,74.4804878
LBN,78.768
LSO,51.038
LBR,62.269
LBY,72.121
LIE,82.65609756
LTU,74.32195122
LUX,82.29268293
MAC,83.707
MKD,75.406
MDG,65.539
MWI,61.953
MYS,75.461
MDV,77.691
MLI,57.509
MLT,81.89756098
MRT,63.936
MUS,74.35317073
MEX,74.904
FSM,67.315
MDA,71.478
MNG,69.111
MNE,76.452
MAR,75.726
MOZ,57.206
MMR,65.81
NAM,62.119
NPL,69.515
NLD,81.5097561
NCL,77.2804878
NZL,81.45682927
NIC,73.649
NER,60.631
NGA,53.112
NOR,82.30487805
OMN,76.887
PAK,66.577
PAN,77.776
PNG,63.466
PRY,73.662
PER,75.792
PHL,70.644
POL,77.45121951
PRT,81.12439024
PRI,79.3534878
QAT,79.758
ROU,74.91219512
RUS,71.18341463
RWA,67.45
WSM,72.73
STP,69.377
SAU,74.651
SEN,66.747
SRB,75.28780488
SYC,74.29512195
SLE,52.941
SGP,82.74390244
SXM,77.2195122
SVK,76.56341463
SVN,80.77560976
SLB,72.173
SOM,55.92
ZAF,62.649
SSD,56.855
ESP,82.83170732
LKA,76.316
LCA,75.596
MAF,79.32195122
VCT,72.095
SDN,64.429
SUR,71.249
SWZ,55.359
SWE,82.20487805
CHE,82.89756098
SYR,69.908
TJK,70.137
TZA,63.111
THA,76.091
TLS,68.459
TGO,59.927
TON,70.517
TTO,72.941
TUN,75.922
TUR,76.532
TKM,67.704
UGA,61.373
UKR,71.1895122
ARE,77.285
GBR,80.95609756
USA,78.6902439
URY,77.369
UZB,70.928
VUT,69.869
VEN,72.584
VNM,75.11
VIR,79.01707317
PSE,73.442
YEM,66.085
ZMB,61.737
ZWE,59.534
