country_iso3,inflation_rate
AFG,-0.6617091647
ALB,3.501208355
DZA,4.784447007
AGO,9.150372075
ATG,0.9689934588
ARM,3.731691193
ABW,0.4747635973
AUS,1.508366722
AUT,0.8965633353
AZE,4.027685737
BHS,1.878438324
BHR,1.848627424
BGD,6.19428023
BRB,-1.112789925
BLR,13.53448976
BEL,0.5614291528
BEN,0.2187859235
BTN,4.548143951
BOL,4.059610411
BIH,-1.036023034
BWA,3.062031696
BRA,9.029901024
BRN,-0.4883474207
BGR,-0.104633261
BFA,0.7248389811
BDI,5.544688913
CPV,0.131187999
KHM,1.221270061
CMR,2.685982772
CAN,1.125241361
CYM,-2.347527702
CAF,1.402970171
TCD,4.377126651
CHL,4.348773532
CHN,1.437023809
COL,4.990234275
COD,0.7441989948
COG,3.169097968
CRI,0.8019820051
CIV,1.251499548
HRV,-0.4644990046
CUW,-0.4765420498
CYP,-2.096997691
CZE,0.3093645485
DNK,0.4520341537
DJI,-0.847389734
DMA,-0.8438269846
DOM,0.8367463467
ECU,3.966646233
EGY,10.37049034
SLV,-0.7313844874
GNQ,1.676630853
EST,-0.4923260065
ETH,9.56889956
FJI,1.374885426
FIN,-0.2079288399
FRA,0.03751438051
GAB,-0.3387951888
GMB,6.808454946
GEO,4.003578207
DEU,0.5144205395
GHA,17.1499695
GRC,-1.736036796
GRD,-0.5154480314
GTM,2.388720328
GIN,10.82068212
GNB,1.476720489
GUY,-1.001734328
HTI,6.731840697
HND,3.15783118
HKG,2.995391705
HUN,-0.06164468006
ISL,1.633055582
IND,4.906973441
IDN,6.363121131
IRN,12.48468156
IRQ,1.393330288
IRL,-0.289879079
ISR,-0.6343906511
ITA,0.03879039966
JAM,3.691542289
JPN,0.7895178901
JOR,-0.8768513597
KAZ,6.665776115
KEN,6.582174403
KIR,0.5720157436
KOR,0.7062081699
XKX,-0.5369293927
KWT,3.271701661
KGZ,6.50331839
LAO,1.277354271
LVA,0.1742422436
LBN,-3.749145248
LSO,3.218445137
LBR,7.748696876
LTU,-0.8840974055
LUX,0.4747431614
MAC,4.559202881
MKD,-0.2999204756
MDG,7.404191742
MWI,21.86734755
MYS,2.104389802
MDV,0.9532066588
MLI,1.450690576
MLT,1.100548264
MRT,3.237703083
MUS,1.286549708
MEX,2.72064065
FSM,-0.2981158374
MDA,9.676240331
MNG,5.726872247
MNE,1.548691582
MAR,1.557907113
MOZ,3.550759674
MMR,9.454171895
NAM,3.394015384
NPL,7.868908956
NLD,0.6002481473
NCL,0.570508141
NZL,0.2927046281
NIC,3.997379967
NER,-0.5760903698
NGA,9.009387183
NOR,2.171136654
OMN,0.06529013303
PAK,2.529328173
PLW,0.9490406437
PAN,0.1374920585
PNG,5.995957781
PRY,3.129002745
PER,3.549288049
PHL,0.6741925368
POL,-0.8741258741
PRT,0.4879386239
QAT,1.814077239
ROU,-0.5941564375
RUS,15.53440505
RWA,2.528502842
WSM,0.7244701349
SMR,0.1456860732
STP,5.250170864
SAU,1.206073222
SEN,0.1352119336
SRB,1.39235822
SYC,4.041944107
SLE,6.693679279
SGP,-0.5226181671
SXM,0.3300271651
SVK,-0.3252197774
SVN,-0.5255522858
SLB,-0.5744692864
ZAF,4.509208278
SSD,52.76633042
ESP,-0.5004613214
LKA,3.768367831
KNA,-2.30187563
LCA,-0.9843092035
VCT,-1.73361195
SDN,16.90957061
SUR,6.893903592
SWZ,4.951244937
SWE,-0.04678474498
CHE,-1.143908672
TJK,5.714559496
TZA,5.58816953
THA,-0.9004249633
TLS,0.6461486142
TGO,2.58390527
TON,-1.05399832
TTO,4.661215981
TUN,4.437371273
TUR,7.670853648
UGA,5.410004196
UKR,48.69986464
ARE,4.069966084
GBR,0.3680468423
USA,0.1186271356
URY,8.666269871
VUT,2.483268757
VEN,121.7380853
VNM,0.6312009052
PSE,1.431611458
ZMB,10.11059289
ZWE,-2.430968424
ARG,15
COM,0.94
LBY,14.85
TKM,7.41
UZB,8.5
YEM,22
