country_iso3,foreign_direct_investment_inflows
AFG,169146608.0
ALB,989578334.8
DZA,-537792920.9
AGO,10028215163.0
ATG,114024660.1
ARG,11758994011.0
ARM,184127986.3
ABW,-28775856.42
AUS,46892808568.0
AUT,-7975773544.0
AZE,4047630000.0
BHS,76075924.75
BHR,64893617.02
BGD,2831152765.0
BRB,688525943.3
BLR,1652300000.0
BEL,-19514245855.0
BLZ,59119223.9
BEN,149755663.3
BMU,-143094386.1
BTN,6450953.85
BOL,554643532.3
BIH,383089615.7
BWA,378554181.5
BRA,64738153494.0
VGB,25502445196.0
BRN,171289167.8
BGR,2221390000.0
BFA,231901703.7
BDI,49622865.77
CPV,96071472.84
KHM,1822804151.0
CMR,694336734.9
CAN,59986208237.0
CYM,80257843415.0
CAF,3000000.0
TCD,559642022.5
CHL,20879139389.0
CHN,242489331627.0
COL,11723936974.0
COM,4936699.51
COD,1165720010.0
COG,4278118365.0
CRI,2955521681.0
CIV,494408755.8
HRV,52276286.8
CUW,146435754.2
CYP,28960532080.0
CZE,1699914617.0
DNK,1850770715.0
DJI,143849876.2
DMA,11051185.73
DOM,2227300000.0
ECU,1322701337.0
EGY,6925200000.0
SLV,494541718.1
GNQ,233325072.8
ERI,49323000.0
EST,-715465129.9
ETH,2626517918.0
FJI,205373209.1
FIN,16849216580.0
FRA,42825414106.0
PYF,26007149.16
GAB,41707702.33
GMB,-1692732.888
GEO,1735285392.0
DEU,62422464519.0
GHA,3192320531.0
GRC,1268938506.0
GRD,153325880.4
GTM,1203355080.0
GIN,53272458.42
GNB,18575499.45
GUY,137700000.0
HTI,105680000.0
HND,1316679827.0
HKG,181047431127.0
HUN,-5266437315.0
ISL,1145767445.0
IND,44009492130.0
IDN,19779127977.0
IRN,2050000000.0
IRQ,-7574200000.0
IRL,237060224929.0
ISR,11336200000.0
ITA,13303439230.0
JAM,924977863.7
JPN,5252218412.0
JOR,1600281690.0
KAZ,6577824050.0
KEN,619719962.3
KIR,-819824.3529
PRK,79435000.0
KOR,4104100000.0
XKX,343350610.6
KWT,284647623.8
KGZ,1144054000.0
LAO,1077759915.0
LVA,812843819.5
LBN,2159289952.0
LSO,206514459.9
LBR,232679832.5
LBY,0.0
LIE,80400430108.0
LTU,1036954106.0
LUX,12499722623.0
MAC,485822304.4
MKD,296604200.4
MDG,328059305.6
MWI,287746689.2
MYS,9857162112.0
MDV,297975993.4
MLI,275414753.0
MLT,3640705147.0
MHL,-5393638.499
MRT,501726765.7
MUS,216455188.3
MEX,35737524436.0
MDA,225565000.0
MNG,94319767.47
MNE,699855695.3
MAR,3252913902.0
MOZ,3868353885.0
MMR,4083839112.0
NAM,838879062.7
NRU,0.0
NPL,51895699.93
NLD,322579599792.0
NCL,1203895440.0
NZL,-73372796.42
NIC,967000000.0
NER,529476871.1
NGA,3064168904.0
NOR,7274086872.0
OMN,-2172431730.0
PAK,1673000000.0
PLW,34583158.15
PAN,5119300000.0
PNG,213710099.4
PRY,480469114.4
PER,8313966795.0
PHL,5639155962.0
POL,15065000000.0
PRT,1270014233.0
QAT,1070879121.0
ROU,4317731472.0
RUS,6852970000.0
RWA,162083821.0
WSM,26867532.32
STP,27924059.14
SAU,8141026667.0
SEN,409166125.8
SRB,2343139736.0
SYC,105893597.2
SLE,252435829.4
SGP,69774553125.0
SXM,27770949.72
SVK,1520387926.0
SVN,1730147099.0
SLB,32222728.56
SOM,303000000.0
ZAF,1521139945.0
SSD,150000.0
ESP,23037070821.0
LKA,679655644.2
KNA,128828086.3
LCA,153713119.4
VCT,119385964.3
SDN,1728373403.0
SUR,183665852.7
SWZ,31498094.37
SWE,10254328595.0
CHE,118752400109.0
TJK,454012320.0
TZA,1506024896.0
THA,8927579182.0
TLS,42995500.0
TGO,257860036.5
TON,6349155.28
TTO,176829744.9
TUN,970521888.7
TUR,19263000000.0
TKM,3042968000.0
TCA,-69888000.0
TUV,300000.0
UGA,737652140.2
UKR,-369000000.0
ARE,8550901847.0
GBR,45333483122.0
USA,511434000000.0
URY,2673041339.0
UZB,1041199291.0
VUT,31021245.77
VEN,2956000000.0
VNM,11800000000.0
PSE,104937726.7
YEM,-15444808.35
ZMB,1582666667.0
ZWE,399200000.0
