country_iso3,gdp_per_capita
AFG,578.4663529
ALB,3952.801215
DZA,4177.886892
ASM,12059.63516
AND,35770.7767
AGO,4166.979833
ATG,14285.32978
ARG,13789.06042
ARM,3607.289299
ABW,28396.90842
AUS,56755.72171
AUT,44178.04738
AZE,5500.310382
BHS,31295.56387
BHR,22634.08565
BGD,1248.45331
BRB,16524.8995
BLR,5949.106307
BEL,40991.80814
BLZ,4770.232656
BEN,1076.796702
BMU,102005.6256
BTN,2752.630172
BOL,3035.971655
BIH,4727.276333
BWA,6799.870178
BRA,8814.001418
BRN,31164.03625
BGR,7055.935673
BFA,653.3272681
BDI,305.549646
CPV,3043.031382
KHM,1162.904995
CMR,1327.502561
CAN,43596.13554
CYM,76284.19393
CAF,377.422919
TCD,776.0197523
CHL,13574.16924
CHN,8066.942635
COL,6175.87603
COM,1242.585682
COD,497.3170391
COG,2447.539308
CRI,11642.77805
CIV,1972.545683
HRV,11781.73479
CUB,7694.014637
CUW,19951.3279
CYP,23408.33668
CZE,17829.69832
DNK,53254.85637
DJI,2658.964207
DMA,7597.288894
DOM,6921.520594
ECU,6124.490887
EGY,3562.932658
SLV,3705.579704
GNQ,11283.39805
EST,17522.23019
ETH,640.5419231
FRO,52400.29728
FJI,5390.714207
FIN,42784.69836
FRA,36638.18493
GAB,7384.700704
GMB,660.7235712
GEO,4014.185944
DEU,41086.72967
GHA,1705.575082
GRC,18050.09761
GRL,44536.40131
GRD,9096.538652
GUM,35829.25036
GTM,3994.636913
GIN,769.2554754
GNB,603.3993815
GUY,5576.82607
HTI,1389.119779
HND,2302.204411
HKG,42431.88828
HUN,12706.89121
ISL,52951.68151
IND,1605.605445
IDN,3331.695115
IRN,4904.327315
IRQ,4688.318017
IRL,62000.11881
IMN,85126.97047
ISR,35813.71341
ITA,30230.2263
JAM,4907.927415
JPN,34524.46986
JOR,4164.108769
KAZ,10510.77189
KEN,1336.883265
KIR,1542.616968
KOR,28732.23108
XKX,3603.025501
KWT,29869.55275
KGZ,1121.082835
LAO,2134.713062
LVA,13774.60527
LBN,7644.545147
LSO,1146.064688
LBR,710.3840166
LBY,4337.919139
LIE,167313.2663
LTU,14258.22933
LUX,101376.4966
MAC,74839.33204
MKD,4843.492387
MDG,467.2355537
MWI,380.5969877
MYS,9955.242722
MDV,9033.459724
MLI,751.4728866
MLT,24921.60368
MHL,3199.886846
MRT,1524.071753
MUS,9260.447303
MEX,9616.645558
FSM,2906.617012
MDA,2732.457113
MCO,165989.5051
MNG,3918.587015
MNE,6517.163752
MAR,2875.257985
MOZ,589.85905
MMR,1144.474341
NAM,4896.61526
NRU,8365.07289
NPL,901.7496077
NLD,45175.23189
NZL,38630.72659
NIC,2049.851666
NER,484.2386326
NGA,2687.480056
MNP,16314.38355
NOR,74355.51586
OMN,16033.46383
PAK,1356.667831
PLW,15876.46193
PAN,13630.32287
PNG,2679.346579
PRY,5413.776021
PER,6229.100674
PHL,3001.043182
POL,12578.49547
PRT,19242.36647
PRI,29763.4883
QAT,63039.11263
ROU,8969.148921
RUS,9313.013625
RWA,751.0773926
WSM,4073.729164
SMR,42662.90265
STP,1584.775657
SAU,20627.92693
SEN,1219.249415
SRB,5588.980728
SYC,14745.34146
SLE,588.2288628
SGP,55646.61875
SXM,32274.89055
SVK,16310.98841
SVN,20881.76693
SLB,2167.119928
SOM,293.4551719
ZAF,5734.633422
SSD,1119.651437
ESP,25732.01836
LKA,3843.780672
KNA,18028.97343
LCA,10093.61802
VCT,6921.702479
SDN,1656.905841
SUR,9168.237157
SWZ,3679.819798
SWE,51545.48361
CHE,84776.14217
TJK,978.4049812
TZA,947.9333517
THA,5840.053067
TLS,1332.791772
TGO,570.9099672
TON,4336.239603
TTO,18214.46062
TUN,3861.6924
TUR,11006.27952
TKM,6432.685325
TCA,26183.88504
TUV,3197.772252
UGA,843.6295453
UKR,2124.662319
ARE,38663.4005
GBR,45039.23595
USA,56863.3715
URY,15613.74597
UZB,2615.025134
VUT,2695.666186
VNM,2085.101349
VIR,34796.49436
PSE,3272.154324
YEM,1601.830063
ZMB,1338.290927
ZWE,1445.069702
