country_iso3,gdp_growth
ABW,5.700000876
AFG,1.451314655
AGO,0.9435715613
ALB,2.218752232
AND,1.434140395
ARB,3.24331211
ARE,5.105936984
ARG,2.731159828
ARM,3.199999999
ASM,1.404056162
ATG,3.825293099
AUS,2.192647426
AUT,1.014501586
AZE,1.049546368
BDI,-3.900003086
BEL,2.041459009
BEN,1.77815106
BFA,3.921228794
BGD,6.552639879
BGR,3.989851714
BHR,2.485378558
BHS,0.2304781235
BIH,3.089164152
BLR,-3.829570558
BLZ,2.849642368
BMU,0.7755296996
BOL,4.857187232
BRA,-3.545763393
BRB,2.448701961
BRN,-0.3923837495
BTN,6.642232105
BWA,-1.697935427
CAF,4.33712103
CAN,0.6591768636
CEB,3.980465821
CHE,1.333369175
CHL,2.303767036
CHN,7.041328879
CIV,8.84285995
CMR,5.651463744
COD,6.91618781
COG,-3.235257871
COL,2.955901375
COM,1.116140583
CPV,1.006863707
CRI,3.631731442
CSS,0.98128748
CUB,4.438141959
CUW,0.2786949306
CYM,2.833122427
CYP,3.21856901
CZE,5.388380838
DEU,1.491931528
DJI,7.696085576
DMA,-2.691108924
DNK,2.342591108
DOM,6.927018774
DZA,3.7
EAP,6.615045741
EAR,4.616404142
EAS,4.196837971
ECA,0.8510755651
ECS,2.039540304
ECU,0.09887260835
EGY,4.372019079
EMU,2.044271119
ESP,3.83517266
EST,1.844886677
ETH,10.39246302
EUU,2.30060265
FCS,1.89245116
FIN,0.5436592118
FJI,4.502018108
FRA,1.112912341
FSM,4.621884004
GAB,3.878899395
GBR,2.355524306
GEO,3.02220738
GHA,2.178206744
GIN,3.81494989
GMB,4.058073804
GNB,6.134082941
GNQ,-9.110041149
GRC,-0.4378338258
GRD,6.443143733
GRL,-2.529318024
GTM,4.092170586
GUM,0.4646660213
GUY,0.6873980562
HIC,2.33370759
HKG,2.387792463
HND,3.840079971
HPC,4.739458512
HRV,2.431888573
HTI,1.616915115
HUN,3.819428379
IBD,3.913635877
IBT,3.913509514
IDA,3.911741238
IDB,3.74032063
IDN,4.8763223
IDX,4.084128761
IMN,-0.3857984083
IND,7.996253444
IRL,25.1625331
IRN,-1.32064512
IRQ,2.477664617
ISL,4.748984972
ISR,2.290092133
ITA,0.7783043507
JAM,0.9226821403
JOR,2.496528695
JPN,1.222921041
KAZ,1.2
KEN,5.718507131
KGZ,3.875825443
KHM,7.036087179
KIR,10.40540793
KNA,1.033704225
KOR,2.809103268
KWT,0.5930196172
LAC,-0.06405426995
LAO,7.270065843
LBN,0.211611959
LBR,0.0
LBY,-8.862039363
LCA,-1.360484662
LCN,0.09186045116
LDC,3.617290348
LIC,2.045291729
LKA,5.007683305
LMC,5.626848796
LMY,3.941474686
LSO,2.650143853
LTE,3.987446655
LTU,2.024583955
LUX,4.306431493
LVA,4.006874033
MAC,-21.59453159
MAR,4.536378168
MCO,4.899999169
MDA,-0.3382353245
MDG,3.132295888
MDV,2.884548602
MEA,2.431372119
MEX,3.293151528
MHL,1.591288446
MIC,3.969675467
MKD,3.85586514
MLI,6.171800024
MLT,9.608132348
MMR,6.99284029
MNA,0.7443996005
MNE,3.390388794
MNG,2.379835807
MNP,3.522012579
MOZ,6.72327878
MRT,5.376339237
MUS,3.55307173
MWI,2.799999999
MYS,5.091532422
NAC,2.685134776
NAM,4.526767116
NER,4.392648832
NGA,2.652693295
NIC,4.792056766
NLD,1.959169721
NOR,1.967128438
NPL,3.322905439
NRU,3.703703704
NZL,3.618967903
OED,2.4193139
OMN,4.630374517
OSS,3.140918771
PAK,4.731147475
PAN,5.732763632
PER,3.252244772
PHL,6.348309717
PLW,7.539069794
PNG,6.578356406
POL,4.236326306
PRE,2.988240583
PRI,-1.049443651
PRT,1.792046046
PRY,3.080374008
PSE,3.721299671
PSS,3.618959834
PST,2.101559497
QAT,4.753345721
ROU,2.953674037
RUS,-1.972719226
RWA,8.856844355
SAS,7.480328778
SAU,4.106408869
SDN,4.906041879
SEN,6.367043651
SGP,2.988520676
SLB,1.415701416
SLE,-20.59877072
SLV,2.395028298
SMR,2.457327998
SRB,1.806059265
SSA,2.773946317
SSD,-10.79336463
SSF,2.780977893
SST,2.833570389
STP,3.911339748
SUR,-3.411095864
SVK,4.81489967
SVN,2.210081607
SWE,4.489281588
SWZ,2.203324126
SXM,0.4
SYC,4.937385619
TCA,11.31482939
TCD,2.767675685
TEA,6.615306293
TEC,1.390623987
TGO,5.742868453
THA,3.133896962
TJK,6.008287872
TKM,6.49999991
TLA,0.04772638205
TLS,2.910035015
TMN,0.7191654451
TON,1.171888256
TSA,7.480328778
TSS,2.780977893
TTO,1.823184697
TUN,1.194541753
TUR,6.0844869
TUV,9.142893933
TZA,6.160628774
UGA,5.187859863
UKR,-9.772960791
UMC,3.557354298
URY,0.3707412563
USA,2.908021861
UZB,7.447705075
VCT,1.330275498
VIR,0.1941747573
VNM,6.679288789
VUT,0.1628664495
WLD,2.873949301
WSM,4.272188528
XKX,4.095194058
YEM,-27.99443852
ZAF,1.193732801
ZMB,2.920375112
ZWE,1.779872703
VEN,-6.22
