source,target,weight
SVN,HUN,865367.7561600002
SVN,DNK,344015.7957900002
SVN,CHN,359086.84114000003
SVN,BIH,820242.2556200002
SVN,GBR,608634.2259699998
SVN,SVK,560164.3299199999
ESP,GHA,253261.0843979416
ESP,HRV,491216.2356674472
ESP,BHS,202912.88741572195
ESP,IRN,494010.4407535902
ESP,POL,6154048.405225058
ESP,IDN,502636.84047289606
ESP,EST,267782.7613676165
ESP,SVN,717423.9116100052
ESP,OMN,322360.0888582544
ESP,KOR,1944864.666033856
ESP,NLD,10751638.789162794
ESP,SWE,2521567.939748401
ESP,KWT,458356.10765700816
ESP,CZE,2676912.23313406
ESP,UKR,438545.3828524032
ESP,CHE,4656830.138927599
ESP,FRA,46868606.46403987
ESP,TUR,6433526.439779774
ESP,THA,695340.6060777326
ESP,CRI,242683.78454480632
ESP,ITA,25035209.477181382
ESP,MAR,9005753.530945487
ESP,CYP,294018.1177069803
ESP,NOR,1360088.9595645813
ESP,NZL,268996.71809500124
ESP,ARE,1963664.0389696497
ESP,RUS,2179048.843844848
ESP,LBY,610675.7477298074
ESP,BRA,2735456.539802327
ESP,FIN,1068528.4283214456
ESP,COL,1079082.5434377934
ESP,URY,243723.05734705343
ESP,USA,13953234.832448011
ESP,TUN,964741.329270916
ESP,LTU,446720.6976313508
ESP,PAN,415363.5180664454
ESP,LVA,228995.47651294383
ESP,GRC,2492598.6505008405
ESP,ARG,1412180.3806105673
ESP,CHL,1534897.7699063933
ESP,CAN,1846786.073983011
ESP,AUT,2671158.127791509
ESP,MLT,461533.64706350735
ESP,ECU,580419.4451411978
ESP,AUS,1851798.421209887
ESP,DZA,2987393.847888625
ESP,KAZ,184003.0550440469
ESP,MYS,733990.0859310919
ESP,CIV,261841.18229621256
ESP,NGA,275642.70806824544
ESP,SEN,407981.5169137396
ESP,IND,1427829.4783959363
ESP,IRL,1739121.7493630487
ESP,SGP,657436.4433441341
ESP,LBN,593500.66168674
ESP,BGR,1820620.977937237
ESP,EGY,1422301.2607048943
ESP,BEL,8696342.663134154
ESP,DEU,34854114.292147525
ESP,HUN,1911337.8373518
