country_iso3,continent,population,gni_atlas,area,langoff_1,colonizer,inflation_rate,gdp_us_dollar,life_expectancy,landlocked,gdp_growth,gdp_per_capita
BGD,Asia,149273134,133342217808.458,143998,Bengali,GBR,11.3951651552399,128637938711.0,70.256,0,6.464379123,861.762162181077
BGR,Europe,7348328,53055186216.2556,110994,Bulgarian,NONE,4.21990346601875,57386216850.0,74.1634146341463,0,2.354556923,7809.42506245471
BHR,Asia,1278153,23212673261.2075,678,Arabic,GBR,-0.400040697488052,28776595745.0,76.2,0,1.983515012,22514.202716483
BHS,America,359583,10080299475.654,13939,English,NONE,3.19878141660321,10070450000.0,72.263,0,0.6133841584,28005.9124040903
BIH,Europe,3661173,18340665911.0296,51233,Serbo-Croatian,NONE,3.67124999999999,18644723861.0,76.219,0,0.9595112472,5092.55472521264
BLR,Europe,9473172,59335003902.1047,207595,Belarussian,NONE,53.2286983118173,61757788945.0,70.5536585365854,0,5.37870745,6519.23019498892
BLZ,America,330236,1338236638.613,22963,English,NONE,1.7,1460800000.0,72.57,0,1.922034605,4423.4968423614
BOL,America,10212951,20429831915.6059,1098581,Spanish,NONE,9.88446419823887,23963033431.0,68.521,1,5.204092308,2346.3378439235
BRA,America,197514541,2188989722562.72,8511920,Portuguese,NONE,6.63644962213085,2616200980392.0,73.921,0,3.974425406,13245.6120301146
BRB,America,282987,4259028856.95471,431,English,NONE,9.43220240177216,4657500000.0,78.456,0,-0.6732891832,16458.3532105715
BRN,Asia,393687,13983786699.8792,5765,Malay,NONE,0.137911563169595,18525319978.0,74.852,0,3.745318352,47055.960643203
BTN,Asia,693297,1553945281.59564,46620,Burmese,GBR,8.84898569946799,1777101317.0,68.84,1,7.982617041,2563.261223801
BWA,Africa,2015406,13312727615.7648,600372,English,GBR,8.45987233408587,15351972361.0,61.91,1,6.048361455,7617.31004132551
CAF,Africa,4418639,2341223148.37222,622984,French,FRA,1.19447572449849,2437982840.0,47.95,1,4.194615337,551.749691833885
CAN,America,34339328,1620451332415.4,9976139,English,NONE,2.91213508872355,1788647906048.0,81.4487804878049,0,3.146881372,52223.696112356
CHE,Europe,7912398,651068739003.502,41288,German,NONE,0.231349207650894,699579638413.0,82.6951219512195,1,1.692808513,91254.0347609687
CHL,America,17233584,212599041048.838,756945,Spanish,NONE,3.34121694259299,252251992029.0,78.986,0,6.110918829,14637.2334407887
CHN,Asia,1344130000,6783868514298.71,9572378,Chinese,NONE,5.55389892257492,7551500124203.0,74.708,0,9.550832179,5618.13226711491
CIV,Africa,21028652,23674117160.1155,322463,French,FRA,4.91243395052462,25414875503.0,53.62,0,-4.387254789,1208.58319891729
CMR,Africa,20906392,28301211348.4838,475442,French,DEU,2.93969946305094,29375448542.0,55.581,0,4.129277161,1405.0941234837
COG,Africa,4394842,11888355208.9593,342000,French,FRA,1.75958704273802,15655384440.0,60.785,0,2.205919363,3557.5561698838
COL,America,45662747,288298910920.525,1141748,Spanish,NONE,3.41758959146978,334943871932.0,75.655,0,6.947891982,7335.16693447605
COM,Africa,706578,993296175.694369,1862,Arabic,NONE,1.84266300756184,1023086184.0,62.24,0,4.099846955,1447.9452695898
CPV,Africa,498858,1751142147.04013,4033,Portuguese,NONE,4.47388342165027,1865915544.0,71.243,0,3.968886345,3740.37410269948
CRI,America,4633086,37492156415.4824,51076,Spanish,NONE,4.87814554580439,42262697840.0,78.919,0,4.30710166,9229.83451670274
CUB,America,11236671,66619952970.334,110861,Spanish,NONE,4.7,68990000000.0,78.4,0,2.802300836,6139.71878325885
CYP,Europe,1124837,27699896670.6139,9251,Greek,NONE,3.28944939564212,27565469098.0,79.621,0,0.4014379411,32396.3857437121
CZE,Europe,10496088,204241686348.433,78864,Czech,NONE,1.91721913635547,229562733399.0,77.8731707317073,1,1.760359624,21871.2660754128
DEU,Europe,80274983,3790949464137.69,357325,German,DEU,2.07517452479837,3744408602684.0,80.4365853658537,0,3.925192705,46644.776027968
DJI,Africa,853671,1587020469.0,23200,French,FRA,5.06871394777984,1239144502.0,60.667,0,7.3,1451.54808090617
DMA,America,70912,490846908.946619,751,English,NONE,1.13123136526474,501025925.9,72.28,0,-0.2235506882,7065.46037237599
DNK,Europe,5570572,345316374125.449,43094,Danish,NONE,2.75868226051246,344003137611.0,79.8,0,1.336777767,61753.647131977
DOM,America,9813219,54323476321.159,48734,Spanish,NONE,5.79671466946105,58029750744.0,72.284,0,3.133423005,5913.42664885493
DZA,Africa,36661438,168503780186.533,2381741,Arabic,FRA,4.52421150505276,200254371997.0,75.199,0,2.9,5455.67902952706
ECU,America,15243885,74306191580.7519,275716,Spanish,NONE,4.47453265795836,79276664000.0,75.289,0,7.868140919,5200.55510783504
EGY,Africa,84529251,216784268952.982,1001449,Arabic,GBR,10.0649259874818,235989672978.0,70.543,0,1.764571949,2791.81076592794
ERI,Africa,3213969,1940938992.48915,121320,English,NONE,5.9,2065001626.0,62.732,0,8.679799936,642.508258796603
ESP,Europe,46742697,1446763629297.07,505954,Spanish,ESP,3.19614641224106,1478772824224.0,82.4756097560976,0,-0.8143734552,31636.4463142558
EST,Europe,1327439,21228875686.6824,45227,Estonian,NONE,4.9819013145361,23391530006.0,76.2292682926829,0,7.443936104,17624.0445588254
ETH,Africa,90139928,35237153539.824,1127127,Amharic,ITA,32.0147888188887,31952763089.0,62.505,1,11.17829623,354.4795719088
FIN,Europe,5388272,270247052544.513,336593,Swedish,NONE,3.42,275243697751.0,80.4707317073171,0,2.547664838,51081.9976703127
FJI,Pacific,863451,3259485006.93931,18333,English,GBR,7.28,3774530616.0,66.759,0,2.705143029,4371.44738457557
FRA,Europe,65342789,2898076657272.04,547026,French,FRA,2.11159795174997,2861408170265.0,82.1146341463415,0,2.192700633,43790.7260166781
FSM,Pacific,103448,317802578.026133,707,English,NONE,5.08259403890365,311301600.0,66.646,0,3.188574755,3009.25682468487
GAB,Africa,1684629,13678642470.7344,267667,French,FRA,1.2633170783742,18210308748.0,62.168,0,7.091753343,10809.6849503904
GBR,Europe,63258810,2597504876826.65,244110,English,GBR,3.85611244682819,2659310054646.0,80.9512195121951,0,1.540147403,42047.6142522206
GEO,Asia,3756441,13215697560.6618,69700,Georgian,NONE,8.54293333333334,15107441447.0,71.773,0,7.399999867,4021.74330617286
GHA,Africa,25387713,35138937517.1185,238538,English,GBR,8.72683683123394,39337314810.0,61.381,0,14.04712363,1549.46271883345
GIN,Africa,10420459,7089756956.68709,245857,French,FRA,21.3504664236733,6785137173.0,57.387,0,5.612104279,651.136113367479
GMB,Africa,1848142,1398702610.22048,11295,English,GBR,4.79588266183113,1409694554.0,59.917,0,-8.130444223,762.763117720034
GNB,Africa,1562996,998493461.788537,36125,Portuguese,PRT,5.04610226320203,1099818652.0,55.144,0,8.084779734,703.66056725746
GNQ,Africa,986861,11384729766.0257,28051,Spanish,ESP,4.80538922155687,21357344847.0,55.945,0,6.52392363,21641.6938980227
GRC,Europe,11104899,272186673087.837,131621,Greek,NONE,3.3298640617472,287797821676.0,80.7317073170732,0,-9.132494172,25450.5341194438
GRD,America,106786,754214687.481519,345,English,NONE,3.03347280334727,778655925.9,72.768,0,0.764976824,7291.74166956273
GTM,America,14521515,42189530753.3286,108889,Spanish,NONE,6.21412393067094,47654783852.0,71.861,0,4.162048937,3228.0457411296
GUY,America,752029,3624838205.56344,214970,English,NONE,4.97773563706971,3691384743.0,68.321,0,5.19629812,4908.56701446734
HND,America,8480670,15911357155.6639,112088,Spanish,NONE,6.76227957314765,17710315006.0,73.569,0,3.835690662,2088.3155465311
HRV,Europe,4280622,60080283859.0919,56538,Serbo-Croatian,NONE,2.27272727272727,62537851352.0,76.7756097560976,0,-0.1983692635,14609.5243524166
HTI,America,10100320,12467813133.3394,27750,French,NONE,6.33279483849046,13008748132.0,60.879,0,6.154225158,1287.95405805707
HUN,Europe,9971727,132081576026.664,93032,Hungarian,NONE,3.92992098935075,141759722464.0,74.8585365853659,1,1.937107794,14216.1656114334
IDN,Asia,245115988,737717018641.036,1933658,Indonesian,NLD,5.36,892969107923.0,69.542,0,6.169784208,3643.04717619274
IND,Asia,1250287939,1704431329269.92,3287590,English,GBR,8.85836096636667,1823050405350.0,67.13,0,5.241344743,1458.10406619626
IRL,Europe,4580084,192137469166.104,70285,English,NONE,2.5571888318692,237472361734.0,80.7463414634146,0,0.3434411125,51886.5084852792
IRN,Asia,74634959,512572512670.496,1648100,Persian,NONE,26.2933856738609,580764902917.0,74.352,0,2.645717918,7781.40580096573
IRQ,Asia,30725305,152546531890.741,437072,Arabic,GBR,5.80145537085299,185470085470.0,68.848,0,7.5464712,6045.4945669195
ISL,Europe,319014,11996825193.6397,102819,Icelandic,NONE,4.00102664343116,15158548263.0,82.3585365853659,0,1.88162028,47714.5922308485
ISR,Asia,7765800,244264259255.945,21621,Hebrew,NONE,3.47857270934193,261468634287.0,81.6560975609756,0,4.783497509,33610.6940289761
ITA,Europe,59379449,2250324124279.08,301323,Italian,ITA,2.78063272879324,2291991045770.0,82.1878048780488,0,0.707333347,38599.0622070322
JAM,America,2825932,12978090979.6079,10991,English,NONE,7.55585646580907,14444655300.0,74.012,0,1.730376267,5111.46598710697
JOR,Asia,7662858,27766547042.4819,91862,Arabic,GBR,4.16244162927781,29524149165.0,73.581,0,2.737179832,3852.89002548782
JPN,Asia,127833000,5992371028551.48,377801,Japanese,JPN,-0.267633600966946,6157459594824.0,82.5912195121951,0,-0.1154213398,48167.9972684965
KAZ,Asia,16557202,137043512953.322,2717300,Kazakh,NONE,8.42488761919795,192626507972.0,68.69,1,7.400000001,11634.0012021103
KEN,Africa,43178270,42878433152.7165,582646,English,GBR,14.0224939638475,41953433591.0,61.851,0,6.10826372,971.633036511422
KGZ,Asia,5514600,4850547002.70823,198500,Kyrgyz,NONE,16.6363262731496,6197766119.0,69.6024390243903,1,5.956274309,1123.8831680627
KHM,Asia,14541421,11790473010.7872,181035,Khmer,FRA,5.47858730411899,12829541141.0,67.043,0,7.069569946,882.275613986936
KIR,Pacific,104735,219228891.668129,717,English,NONE,1.49740979875968,181705002.6,66.072,0,1.594561102,1734.90239727549
KNA,America,49442,763703314.709967,269,English,NONE,5.83516519570853,817759259.3,73.0,0,1.828435302,16539.7690073067
KOR,Asia,49936638,1177848647578.97,99484,Korean,JPN,4.02584624959385,1253223044719.0,80.5682926829269,0,3.685667782,25096.2638838239
KWT,Asia,3168054,138718795423.659,17818,Arabic,GBR,4.8394034987095,154068115942.0,74.55,0,9.628406975,48631.7834045849
LAO,Asia,6347564,7263600389.40533,236800,Lao,FRA,7.56898856109973,8749241114.0,64.797,1,8.038652681,1378.36201638757
LBN,Asia,5202022,39350341123.556,10452,Arabic,FRA,4.97148571692381,39927125961.0,78.507,0,0.8673398773,7675.30893971499
LBR,Africa,4017446,2100467508.25232,111369,English,USA,8.48816751849397,2398000000.0,60.146,0,8.20076584,596.89663532503
LBY,Africa,6247438,29324434748.1896,1759540,Arabic,ITA,15.5184815317562,34699395524.0,71.956,0,-62.07591958,5554.18005326459
LCA,America,175538,1548900779.70401,617,English,NONE,2.76940794144096,1576988407.0,74.993,0,5.483411333,8983.74373302309
LKA,Asia,20398496,58046838743.5935,65610,Sinhala,GBR,6.7167684358854,65292753005.0,75.614,0,8.404733021,3200.86113238282
LSO,Africa,2003793,2724709458.51853,30355,English,GBR,5.03663052101557,2622336148.0,46.207,1,5.355154953,1287.26953644869
LTU,Europe,3028115,40322490383.0204,65300,Lithuanian,NONE,4.13027562645087,43582248870.0,73.5634146341464,0,6.03900816,14376.9478643932
LUX,Europe,518347,39529908915.6949,2586,French,NONE,3.4106834106834,60004630234.0,80.9878048780488,1,2.539235768,115761.507705096
LVA,Europe,2059709,27129835572.4081,64589,Latvian,NONE,4.37073559939221,28619991392.0,73.5756097560976,0,6.46884995,13776.0887766199
MAR,Africa,32781860,99886556938.8133,710850,Arabic,FRA,0.906924909691796,101370474295.0,74.696,0,5.245697297,3046.94785427611
MDA,Europe,2859833,7804603746.59099,33700,Romanian,NONE,7.68725103356185,8414360656.0,70.119,0,5.818166405,2942.25594861529
MDG,Africa,21743970,10455694661.5275,587041,French,FRA,9.48254048582997,11551821062.0,63.836,0,1.578429421,531.265498542052
MDV,Asia,380493,2509498806.4428,298,Maldivian,NONE,11.2734146055937,2774351760.0,76.293,0,8.566733531,7291.46596660877
MEX,America,115695468,1076966686703.36,1967210,Spanish,NONE,3.40737824605736,1180489601958.0,75.011,0,3.66300793,10203.4212952716
MHL,Pacific,56524,201516535.965018,181,English,NONE,5.4,174332100.0,70.0,0,-0.7561434602,3046.29007147406
MKD,Europe,2072484,9964101945.17915,25713,Macedonian,NONE,3.90475422069738,10494632699.0,74.846,1,2.339886045,5063.88590630977
MLI,Africa,15514593,11388476033.1155,1240142,French,FRA,2.95564395229391,12995074801.0,55.701,1,3.21313378,837.605820999201
MLT,Europe,416268,9208106312.81586,316,English,NONE,2.96298528192878,9638916472.0,80.7463414634146,0,0.4670505643,23155.5547893882
MMR,Asia,50990612,53026403361.1973,678500,Burmese,GBR,5.02146014620726,59977326086.0,63.983,0,5.591482378,1061.92341090353
MNG,Asia,2770357,7173895893.6219,1565500,Mongolian,NONE,8.41121495327101,10409797649.0,67.818,1,17.29077758,3757.56541460408
MOZ,Africa,24187500,13169392418.457,801590,Portuguese,PRT,11.1666056127874,14381552433.0,53.043,0,7.417384316,594.586147098683
MRT,Africa,3598646,5751463903.04753,1030700,Arabic,FRA,5.68631959575963,6764635687.0,62.799,0,4.172783283,1879.77247186677
MUS,Africa,1252404,10513944316.5011,2045,English,NONE,6.52249254869339,11518393367.0,73.2668292682927,0,4.077538074,9197.04299089459
MWI,Africa,14962118,7378702705.272,118484,English,GBR,7.62282262848515,8004000737.0,57.161,1,4.854055109,534.951050199388
MYS,Asia,28650962,259323021077.674,329758,Malay,GBR,3.17447092151309,297951960784.0,74.683,0,5.293912834,10399.3702125714
NAM,Africa,2156698,11069932792.707,825518,English,NONE,5.00559518081198,12343501808.0,58.085,0,5.091338117,5806.74824519587
NER,Africa,17114770,8957171125.45614,1267000,French,FRA,2.94238514013317,8772951262.0,58.081,1,2.357756936,512.595335012861
NGA,Africa,162805080,354203612186.534,923768,English,GBR,10.8400275418866,404993594134.0,51.346,0,5.307924204,2487.59801680379
NIC,America,5903035,9288049465.95668,130670,Spanish,NONE,8.0823879809911,9774262742.0,72.692,0,6.316709606,1655.81805473253
NLD,Europe,16693074,909377432301.668,41863,Dutch,NLD,2.3410701775137,904085980796.0,81.2048780487805,0,1.551189312,54159.3466126142
NOR,Europe,4953088,447431714513.559,323752,Norwegian,NONE,1.28495158809159,498283438454.0,81.2951219512195,0,0.9814694973,100600.562407589
NPL,Asia,27041220,17140728777.7741,147181,Nepali,GBR,9.22707546125953,18913574371.0,68.028,1,3.421828241,799.583376878379
NRU,Pacific,10069,89363224.0,21,Nauruan,NONE,0.300300300300307,66055407.67,59.7,0,10.0,6560.27487042551
NZL,Pacific,4384000,141300796292.842,268676,English,NONE,4.02790667392038,168510189201.0,80.9048780487805,0,2.358784916,38387.6270784076
OMN,Asia,3251102,55317440045.35,212379,Arabic,GBR,4.04218867116396,67872692582.0,75.916,0,2.658868673,20876.5850396107
PAK,Asia,183340168,188901063104.206,882872,Urdu,GBR,11.9160927116277,213587413184.0,65.562,0,2.748405917,1164.97882332035
PAN,America,3706479,31682545161.8804,75648,Spanish,NONE,5.87580243678762,34686200000.0,76.989,0,11.31373175,9358.26157385486
PER,America,29264314,145319767106.28,1285216,Spanish,NONE,3.36931095333853,171761737047.0,74.697,0,6.327192402,5869.32388186462
PHL,Asia,95570049,240920805259.123,300000,English,ESP,4.71841704718416,234216730704.0,69.984,0,3.858232828,2450.73569408545
PLW,Pacific,17748,217781165.869342,487,English,NONE,4.67469879518072,196911100.0,70.0,0,6.683682862,11094.8332206446
PNG,Pacific,7472196,13608709497.7753,462840,English,DEU,4.44083401028976,17984910496.0,62.316,0,1.107543597,2406.91096725754
POL,Europe,38063255,490459987925.055,312685,Polish,NONE,4.23940149625935,528301269070.0,76.6951219512195,0,4.757638004,13879.5609852546
PRK,Asia,24673392,15719337792.0,120538,Korean,JPN,4.026,441969000000.0,70.012,0,3.686,639.0
PRT,Europe,10557560,239863725937.725,92389,Portuguese,PRT,3.65301100430729,244797226567.0,80.4707317073171,0,-1.696164781,23186.9131283278
PRY,America,6333981,28372393236.168,406752,Spanish,NONE,8.25396825396825,33715524704.0,72.86,1,4.249111045,5329.38743682686
QAT,Asia,2035862,136293375595.567,11437,Arabic,GBR,1.13836623529203,167775268614.0,79.26,0,13.37517641,82409.9416434106
RUS,Asia,142960908,1581315059114.0,17075400,Russian,NONE,8.44046485932559,2045925608274.0,69.6839024390244,0,4.300029186,14311.0843159612
RWA,Africa,10293333,6715587196.26133,26338,French,DEU,3.1,6884889636.0,64.523,1,7.958406046,668.494672193863
SAU,Asia,28267591,590301258923.33,2153168,Arabic,GBR,5.82621608838853,671238840108.0,74.089,0,9.996846552,23745.8805777495
SDN,Africa,35349676,54781390214.4242,2505813,Arabic,GBR,18.0966171221351,57060450038.0,63.171,0,-1.967695859,1437.77983086377
SEN,Africa,13033814,16952273724.0501,196722,French,FRA,3.40322829786967,17902207622.0,64.898,0,1.458388671,1366.77450070807
SGP,Asia,5183688,250305666349.915,646,English,NONE,5.2477933984048,279351168707.0,81.7439024390244,0,6.337870814,53890.4287270504
SLB,Pacific,541522,878210978.529831,29785,English,GBR,7.34270706018,1049952233.0,70.985,0,7.2720469,1938.89118680079
SLE,Africa,6563238,2804879453.52486,73326,English,GBR,6.78819444444446,2942546781.0,50.234,0,6.315045036,448.337662148696
SLV,America,6210567,18999936960.8967,21041,Spanish,NONE,5.12892376681616,20283790000.0,71.449,0,3.815356138,3266.01258790059
SMR,Europe,31655,1795380736.0,61,Italian,NONE,2.89979584300121,1813752784.0,83.32,0,-8.314773571,57297.5133143063
STP,Africa,184521,218344518.060541,964,Portuguese,NONE,14.3271667616801,231488665.2,67.885,0,4.398201685,1254.54159767468
SUR,America,535177,4240262227.33456,163820,Dutch,NONE,17.7117796414557,4422276622.0,70.676,0,5.849367784,8263.20380320348
SVK,Europe,5398384,94151475568.686,49036,Slovak,NONE,3.91928599146294,99122802874.0,75.9585365853659,1,2.847218178,18361.5694760083
SVN,Europe,2052843,50448720263.6115,20256,Slovenian,NONE,1.80285171941907,51516366655.0,79.9707317073171,0,0.8613277327,25095.1322896197
SWE,Europe,9449213,535794524390.346,449964,Swedish,NONE,2.96115073822139,574094112973.0,81.8024390243903,0,3.195333235,60755.7595508465
SWZ,Africa,1072029,4134675879.88919,17364,Swati,GBR,6.10742714590245,4820499497.0,48.141,1,2.247229761,4496.61296226253
SYC,Africa,87441,923891643.124875,455,English,NONE,2.5592677223095,1065826670.0,72.7243902439024,0,7.887279597,12189.0951601357
SYR,Asia,21081814,112571415764.0,184004,Arabic,FRA,4.75316388885632,67293000000.0,71.27,0,4.6,3192.0
TCD,Africa,12360986,10947483947.616,1284005,French,FRA,2.02924053678257,12172309523.0,51.424,1,0.08286979844,984.736130484829
TGO,Africa,6595939,4056487873.27388,56785,French,DEU,3.56351472903955,3872459250.0,58.092,0,6.398199052,587.097492827983
THA,Asia,67518379,334256150195.235,513115,Thai,NONE,3.80879058139634,370819140947.0,74.593,0,0.8401320831,5492.12149993341
TJK,Asia,7697507,7848532740.44985,143095,Tajik,NONE,12.4315490430408,6522732203.0,69.055,1,7.400640543,847.382432066315
TKM,Asia,5174076,24454791710.4832,488100,Turkmen,NONE,5.3,29233333333.0,66.928,1,14.69999993,5649.96210595541
TON,Pacific,103558,394229152.582949,748,Tongan,NONE,6.27075302995689,414523388.5,70.148,0,6.818276144,4002.81377065344
TTO,America,1336180,20001165158.6202,5130,English,NONE,5.10713289264559,25433011405.0,72.17,0,-0.294354409,19034.1207062684
TUN,Africa,10741872,42814525247.0772,164150,Arabic,FRA,3.24002842009523,45810626509.0,75.206,0,-1.91717768,4264.6781221604
TUR,Europe,73443254,830733731579.224,780576,Turkish,NONE,6.47187967115097,838785707000.0,74.944,0,11.20011058,11420.5554558378
TUV,Pacific,10626,50229073.7191191,26,Tuvaluan,NONE,0.500580743152696,38711810.21,67.2,0,7.515954206,3643.1216084556
TZA,Africa,45673520,33932106024.1436,945090,English,DEU,12.6909694699163,34657139495.0,59.525,0,7.672155435,781.433895673281
UGA,Africa,33476772,28599612729.0697,241038,English,GBR,15.1251539449716,27752712167.0,58.087,1,9.391655493,828.994112767086
