Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Costa Rica,GDP (current US$),4614629898.4,5251025767.5,5711687786.8,7168999670,8528593420.5,9537297723.1,10432619325.4203,11513472785.7262,11618286652.063,12552071487.9622,13617405297.2511,14195623342.9011,14949514493.332,15913363440.5692,16504795592.7964,17196009811.1172,18528955524.6272,19948261084.3726,22602721765.2812,26743972564.1217,30612927059.0967,30562361123.0307,37268614024.3178,42262697840.385,46473128285.5589,49745088111.6953,50577769837.7462,54775994478.5095,57157992434.1805,58174549218.3352,60130106116
Cote d'Ivoire,GDP (current US$),10255170460,9757410614.1,10795850107,10492628915,11152971316,11045759469,8313557450.25213,11000146839.497,12139234938.7863,11722142706.1278,12612033728.8572,12376639822.9265,10717022462.6859,11192560827.2962,12346919216.1359,15306602560.2533,16554441846.5192,17084928927.4555,17800887796.4987,20343635319.6174,24224903099.6283,24277493862.0625,24884505034.5564,25381616734.0693,26790579775.295,31264187110.3554,35316491206.7797,33131114321.6792,35296977343.6523,38053606750.5179,43007047822
Croatia,GDP (current US$),,,,,,,,22417450485.5854,23710279341.9455,23854803103.5938,25467053258.5294,23400480897.6757,21669159307.5371,23179799796.1997,26815719603.1353,34686547352.7218,41594418573.8197,45386757883.4129,50454899071.2499,60182977533.3271,70288911412.9333,62666161453.4983,59807966533.2848,62354235670.5777,56494436182.7599,58056951042.0866,57642879510.1075,49530656285.0852,51596929180.1352,55319620157.6135,60971699315
Cuba,GDP (current US$),27458999472,27023468666,28645436569,24316556026,22085858243,22367254865,28448326756.7568,30429803651.2192,25017368700,25365908100,25736331200,28364615200,30565400000,31682400000,33590500000,35901200000,38203000000,42643836100,52742800000,58603900000,60806300000,62080000000,64328000000,68990000000,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,100023000000
Cyprus,GDP (current US$),4278792597.2,4563482603.6,5591130217.7,5770197348.5,6912150456.3,6590291048.3,7425703928.57143,9933133247.08926,10011918444.1656,9547818700.11403,10248617647.0588,10497908306.3646,9985844486.33365,10397897085.6102,11420227884.6154,14547325028.3126,17320552500,18433411267.2553,20072786350.5206,23968764029.5647,27844698989.3072,25945391775.4932,25732432719.0773,27565469097.9955,24978513426.6992,23900872625.8467,23128114786.7676,19779150116.4984,20890936462.2537,22638608224.1301,24961988663
Czech Republic,GDP (current US$),,,40477403220,29675502270,34590052812,40614350197,47554674590.9328,59775697061.0399,66985765439.1937,61792161168.0011,66490372105.1262,64867483193.1315,61649492816.5201,67523642262.4009,81910771993.9155,99627140274.3805,119162172468.268,136280689891.224,155463807112.889,189227050759.595,235718586901.129,206179982164.402,207477857918.919,227948349666.354,207376427020.815,209402444996.104,207818330723.835,186829940545.759,195090272402.729,215913545038.43,245225882900
Denmark,GDP (current US$),115552846620,112409222180,138247285820,139224688810,152915654480,143195627010,156162386724.523,185006881515.065,187632346387.984,173537647058.824,176991934992.837,177965188354.692,164158739097.623,164791442543.375,178635163717.431,218096033517.009,251373002954.382,264467336457.169,282884947702.966,319423424509.066,353361038818.383,321241303699.006,321995279401.502,344003137611.271,327148943812.137,343584391647.927,352993631617.708,302673068765.972,313115929314.339,329417067127.816,355675329090
Djibouti,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,2042817162.85639,2216200810.48476,2445484583.05199,2618587757.14607,2766868072.24848,2955912228.2
Dominica,GDP (current US$),171106184.07,185137242.96,201428730,219763222.22,234058259.26,245527592.59,264375666.666667,274522148.148148,292286000,302989185.185185,322409851.851852,331759000,333468888.888889,340205074.074074,333195185.185185,343310666.666667,367199111.111111,364255074.074074,390250148.148148,421375851.851852,458190185.185185,489074333.333333,493824407.407408,501025296.296296,485998000,498296296.296296,520207407.407407,540737037.037037,576229629.62963,519837037.037037,550892592.59
Dominican Republic,GDP (current US$),5374314928.4,6686593059.9,7073675544.8,9734321854,11356271336,13081042400,14664237666.6667,16598679279.0698,18241691857.3544,20017908829.3254,21672526562.7869,22137599986.1056,24305116729.1851,25599311449.3848,27362875602.5011,21642882856.4247,22692574473.3467,36119047252.1794,38116351526.2862,43965459069.8118,48122601589.3469,48261079522.8544,53860187452.8829,58029773801.1283,60681535893.4288,62682158700.6381,67179956264.3268,71164826720.514,75704647977.3087,79998045976.4898,85555390387
East Timor,GDP (current US$),,,,,,,,,,,,,439646100,517708500,510677000,543315600,1078373700,1813708100,2657842700,2881040200,4391368100,3199666700,3998961300,5672048700,6661664600,5637671700,4041637000,3092624800,2503532100,2487269400,2581000000
Ecuador,GDP (current US$),13051886552,13890828708,15239278100,16988535268,18094238119,18938717359,22708673336.6683,24432884442.2211,25226393196.5983,28162053026.5133,27981896948.4742,19645272636.3182,18327764882.4412,24468324000,28548945000,32432858000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,101726331000,99290381000,99937696000,104295862000,108398058000
"Egypt, Arab Rep.",GDP (current US$),34980124929,39756299050,42978914311,37387836491,41855986519,46578631453,51897983392.6453,60159245060.4542,67629716981.1321,78436578171.0914,84828807556.0803,90710704806.8417,99838543960.0763,97632008709.853,87850683978.6691,82924503942.6381,78845185293.4964,89685725230.2517,107484034870.974,130478960092.499,162818181818.182,188982374700.805,218888324504.753,236001858960.015,279372758361.832,288586231501.877,305529656458.438,332698041030.807,332927833278.038,235369129337.711,250894760350
El Salvador,GDP (current US$),4189880000,4372215300,4817542204,5252342400,5813399300,6680269200,7679384000,8921947100,9586327800,10221705900,10936669900,11284197000,11784927700,12282533600,12664190300,13243892200,13724810900,14698001400,15999886400,17011750900,17986890000,17601620000,18448000000,20284000000,21386000000,21991000000,22593000000,23438000000,24154000000,24928000000,26057000000
Eritrea,GDP (current US$),,,,,477101651.65,467872714.76,531688311.688312,578015625,693535954.190067,686490090.140141,745526154.93283,688921325.712043,706370815.584416,752368495.512622,729321366.651861,870247703.182758,1109054005.43971,1098425900.74116,1211161879.6748,1317974491.05691,1380188800,1856695551.21951,2117039512.19512,2607739837.39837,,,,,,,
Estonia,GDP (current US$),,,,,,4006982535.1,4116735206.80784,4497823918.17467,4780169853.03681,5147711226.33003,5665917232.17266,5762048126.06474,5694069842.43988,6259258257.98944,7372457191.29698,9877636517.61517,12144397515.528,14098326327.5712,17012321791.4942,22445582945.5242,24371299985.3523,19744110447.3465,19685033799.4182,23394843529.0691,23192709238.817,25271407238.6622,26773472961.8253,23048864242.6072,23996451497.6139,26792757827.3154,30732144529
Eswatini,GDP (current US$),692016714.32,696915430.66,1114703088.2,1156141998.3,1284766234.2,1357206995.7,1419293454.99606,1698982437.76019,1602760100.48147,1716699913.19444,1576904292.4588,1547884442.26205,1738100848.09721,1542477354.99355,1432228172.702,2197612760.58535,2770082815.20915,3178126547.9298,3291353812.85535,3469363931.16431,3294093359.62088,3580417156.54024,4438778553.63533,4820499498.18209,4886658800.24361,4597702897.95031,4422304976.52658,4073390988.34931,3840677844.57852,4446248678.17126,4710618471.9
Ethiopia(excludes Eritrea),GDP (current US$),10908935749,11476584879,12175166763,13463868357,10492993078,8830712713.9,6927950564.55657,7663984567.90123,8547939730.62374,8589211390.49612,7818224905.55071,7700833482.00615,8242392103.68061,8231326016.47494,7850809498.16803,8623691300.04079,10131187261.4421,12401139453.9738,15280861834.6024,19707616772.7996,27066912635.2228,32437389116.038,29933790334.3418,31952763089.33,43310721414.0829,47648211133.2183,55612228233.5179,64589334978.8013,74296618481.0882,81760441158.7556,84355604753
Faeroe Islands,GDP (current US$),,,,,,,,,,,1107882640.8787,1120280381.86979,1058702725.4395,1147654635.45922,1262669892.4595,1494011567.01125,1688237552.36935,1727792692.89133,1984445416.02206,2290133548.87301,2432415998.11695,2268387770.71014,2320424601.26954,2490807830.57351,2366301251.61847,2627049837.08135,2850743875.2784,2518096285.61661,2689157270.82312,,
