country_iso3
AFG
AGO
ALB
ARE
ARG
ARM
AUS
AUT
AZE
BDI
BEL
BEN
BFA
BGD
BGR
BHR
BIH
BLR
BOL
BRA
BWA
CAF
CAN
CHE
CHL
CHN
CMR
COG
COL
COM
CRI
CYP
CZE
DEU
DNK
DOM
DZA
ECU
EGY
ESP
EST
ETH
FIN
FRA
GAB
GBR
GEO
GHA
GIN
GRC
GTM
HND
HRV
HTI
HUN
IDN
IND
IRL
IRN
IRQ
ISL
ISR
ITA
JAM
JOR
JPN
KAZ
KEN
KGZ
KHM
KOR
KWT
LBN
LBR
LBY
LKA
LSO
LTU
LUX
LVA
MAR
MDA
MDG
MEX
MKD
MLI
MLT
MMR
MNG
MOZ
MRT
MUS
MWI
MYS
NER
NGA
NIC
NLD
NOR
NPL
NZL
OMN
PAK
PAN
PER
PHL
POL
PRT
PRY
QAT
RUS
RWA
SAU
SDN
SEN
SGP
SLE
SUR
SVK
SVN
SWE
SWZ
TCD
TGO
THA
TJK
TKM
TTO
TUN
TUR
TZA
UGA
UKR
URY
USA
UZB
VNM
YEM
ZAF
ZMB
ZWE
