iso_o,iso_d,dist
ABW,MHL,12908.49
ABW,MKD,9214.088
ABW,MLI,6729.114
ABW,MLT,8723.98
ABW,MMR,16436.57
ABW,MNG,13299.1
ABW,MNP,15020.25
ABW,MOZ,11878.69
ABW,MRT,5824.114
ABW,MSR,966.2597
ABW,MTQ,1001.726
ABW,MUS,14395.81
ABW,MWI,11828.46
ABW,MYS,18066.89
ABW,NAM,10267.96
ABW,NCL,13964.53
ABW,NER,7796.389
ABW,NFK,13783.12
ABW,NGA,8081.917
ABW,NIC,1761.929
ABW,NIU,11484.71
ABW,NLD,7896.896
ABW,NOR,8301.125
ABW,NPL,14828.1
ABW,NRU,13604.61
ABW,NZL,12981.52
ABW,OMN,13155.52
ABW,PAK,13581.61
ABW,PAL,10625.24
ABW,PAN,1102.975
ABW,PCN,7735.013
ABW,PER,2848.861
ABW,PHL,16773.43
ABW,PLW,16527.85
ABW,PNG,15957.22
ABW,POL,8990.023
ABW,PRI,781.5696
ABW,PRK,14063.87
ABW,PRT,6637.424
ABW,PRY,4418.076
ABW,PYF,9348.107
ABW,QAT,12436.23
ABW,REU,14183.83
ABW,ROM,9528.119
ABW,RUS,9942.475
ABW,RWA,11168.01
ABW,SAU,12028.87
ABW,SDN,10960.46
ABW,SEN,5688.13
ABW,SGP,18355.38
ABW,SHN,7763.898
ABW,SLB,14562.64
ABW,SLE,6222.756
ABW,SLV,2070.009
ABW,SMR,8461.912
ABW,SOM,12721.27
ABW,SPM,4015.755
ABW,STP,8580.347
ABW,SUR,1793.713
ABW,SVK,8778.741
ABW,SVN,8601.009
ABW,SWE,8715.387
ABW,SWZ,11739.21
ABW,SYC,13989.59
ABW,SYR,10720.53
ABW,TCA,998.4774
ABW,TCD,9201.158
ABW,TGO,7858.3
ABW,THA,16930.21
ABW,TJK,12917.73
ABW,TKL,11515.18
ABW,TKM,12265.52
ABW,TMP,18262.52
ABW,TON,12067.62
ABW,TTO,959.7569
ABW,TUN,8328.585
ABW,TUR,9845.79
ABW,TUV,12456.92
ABW,TWN,15659.13
ABW,TZA,12282.36
ABW,UGA,11386.03
ABW,UKR,9678.449
ABW,URY,5483.935
ABW,USA,3161.668
ABW,UZB,12732.29
ABW,VCT,964.7043
ABW,VEN,408.8065
ABW,VGB,881.2882
ABW,VNM,16271.96
ABW,VUT,13756.36
ABW,WLF,12049.83
ABW,WSM,13348.89
ABW,YEM,12161.9
ABW,YUG,9082.858
ABW,ZAF,10662.36
ABW,ZAR,9622.77
ABW,ZMB,11267.38
ABW,ZWE,11603.47
AFG,ABW,13257.81
AFG,AFG,303.7614
AFG,AGO,7607.8
AFG,AIA,12292.16
AFG,ALB,4342.117
AFG,AND,5806.359
AFG,ANT,13218.26
AFG,ARE,1813.615
AFG,ARG,15298.5
AFG,ARM,2266.15
AFG,ATG,12297.09
AFG,AUS,11433.49
AFG,AUT,4568.098
AFG,AZE,1822.217
AFG,BDI,5930.057
AFG,BEL,5416.121
AFG,BEN,7481.006
AFG,BFA,7497.595
AFG,BGD,2376.978
AFG,BGR,4043.005
AFG,BHR,2004.434
AFG,BHS,12518.58
AFG,BIH,4428.614
AFG,BLR,3880.9
AFG,BLZ,13822.82
AFG,BMU,11177.66
AFG,BOL,15349.95
AFG,BRA,13771.76
AFG,BRB,12465.55
AFG,BRN,5741.141
AFG,BTN,2103.501
AFG,BWA,8023.767
AFG,CAF,6188.315
AFG,CAN,10768.89
AFG,CCK,5992.465
AFG,CHE,5247.043
AFG,CHL,16353.9
AFG,CHN,4180.438
AFG,CIV,8144.624
AFG,CMR,6842.123
AFG,COG,7100.583
AFG,COK,15044.61
AFG,COL,14288.69
AFG,COM,5824.411
AFG,CPV,9324.58
AFG,CRI,14334.57
AFG,CUB,12952.4
AFG,CXR,6312.074
AFG,CYM,13283.3
AFG,CYP,3257.972
AFG,CZE,4708.024
AFG,DEU,5226.514
AFG,DJI,3668.116
AFG,DMA,12416.77
AFG,DNK,4857.692
AFG,DOM,12709.28
AFG,DZA,5866.736
AFG,ECU,14950.6
AFG,EGY,3584.319
AFG,ERI,3706.288
AFG,ESH,7696.608
AFG,ESP,6290.493
AFG,EST,4238.918
AFG,ETH,4196.206
AFG,FIN,4254.794
AFG,FJI,12880.35
AFG,FLK,15447.96
AFG,FRA,5590.381
AFG,FRO,5959.883
AFG,FSM,9494.704
AFG,GAB,7263.688
AFG,GBR,5718.078
AFG,GEO,2270.991
AFG,GHA,7786.48
AFG,GIB,6593.598
AFG,GIN,8955.442
AFG,GLP,12384.11
AFG,GMB,8798.221
AFG,GNB,8805.014
AFG,GNQ,7088.998
AFG,GRC,4058.47
AFG,GRD,12707.12
AFG,GRL,7901.775
AFG,GTM,14157.62
AFG,GUF,12506.79
AFG,GUY,12850.2
AFG,HKG,4566.617
AFG,HND,14078.02
AFG,HRV,4608.2
AFG,HTI,12861
AFG,HUN,4367.694
AFG,IDN,6000.786
AFG,IND,1003.893
AFG,IRL,6085.926
AFG,IRN,1620.826
AFG,IRQ,2285.353
AFG,ISL,6658.555
AFG,ISR,3199.193
AFG,ITA,4935.994
AFG,JAM,13173.26
AFG,JOR,3096.229
AFG,JPN,6278.016
AFG,KAZ,1180.169
AFG,KEN,5221.581
AFG,KGZ,1043.715
AFG,KHM,4421.175
AFG,KIR,11202.85
AFG,KNA,12346.53
AFG,KOR,5131.888
AFG,KWT,2079.553
AFG,LAO,3784.918
AFG,LBN,3088.869
