source,target,dist
AGO,FJI,16618.51
AGO,FRA,6510.322
AGO,GAB,1110.371
AGO,GBR,6837.594
AGO,GEO,6482.799
AGO,GHA,2192.395
AGO,GIN,3804.649
AGO,GMB,4132.186
AGO,GNB,3941.227
AGO,GNQ,1485.016
AGO,GRC,5325.223
AGO,GRD,8613.741
AGO,GTM,11735.94
AGO,GUY,8109.865
AGO,HND,11377.58
AGO,HRV,6086.698
AGO,HTI,9868.396
AGO,HUN,6296.004
AGO,IDN,10294.87
AGO,IND,8025.968
AGO,IRL,7160.81
AGO,IRN,6368.018
AGO,IRQ,5736.821
AGO,ISL,8642.954
AGO,ISR,5096.148
AGO,ITA,5645.243
AGO,JAM,10324.34
AGO,JOR,5140.358
AGO,JPN,13861.75
AGO,KAZ,8643.737
AGO,KEN,2744.311
AGO,KGZ,8454.77
AGO,KHM,10393.31
AGO,KIR,17657.94
AGO,KNA,8842.232
AGO,KOR,12705.4
AGO,KWT,5649.504
AGO,LAO,10254.81
AGO,LBN,5301.993
AGO,LBR,3154.236
AGO,LBY,4626.358
AGO,LCA,8580.775
AGO,LKA,7594.32
AGO,LSO,2721.224
AGO,LTU,7158.965
AGO,LUX,6540.273
AGO,LVA,7388.835
AGO,MAR,5221.762
AGO,MDA,6403.256
AGO,MDG,3857.428
AGO,MDV,6836.069
AGO,MEX,12686.0
AGO,MKD,5719.467
AGO,MLI,3352.429
AGO,MLT,4980.603
AGO,MMR,9555.35
AGO,MNG,11014.06
AGO,MOZ,2794.277
AGO,MRT,4395.738
AGO,MUS,4915.372
AGO,MWI,2314.207
AGO,MYS,9900.254
AGO,NAM,1582.875
AGO,NER,2778.376
AGO,NGA,2017.813
AGO,NIC,11252.12
AGO,NLD,6856.132
AGO,NOR,7655.045
AGO,NPL,8745.843
AGO,NZL,13836.31
AGO,OMN,6115.173
AGO,PAK,7889.046
AGO,PAN,10468.29
AGO,PER,9843.897
AGO,PHL,12159.63
AGO,PLW,13562.46
AGO,PNG,14529.4
AGO,POL,6838.712
AGO,PRT,5779.503
AGO,PRY,7684.19
AGO,QAT,5620.981
AGO,RUS,7535.854
AGO,RWA,2014.346
AGO,SAU,5207.322
AGO,SEN,4277.941
AGO,SGP,10104.83
AGO,SLE,3517.934
AGO,SLV,11580.46
AGO,STP,1239.145
AGO,SUR,7771.882
AGO,SVK,6355.751
AGO,SVN,6111.597
AGO,SWE,7599.202
AGO,SWZ,2711.923
AGO,SYC,4687.008
AGO,TCD,2345.135
AGO,TGO,2128.469
AGO,THA,9955.721
AGO,TJK,7803.152
AGO,TKM,7002.799
AGO,TON,16570.23
AGO,TTO,8557.671
AGO,TUN,5092.534
AGO,TUR,5778.666
AGO,TZA,2880.082
AGO,UGA,2373.897
AGO,UKR,6802.643
AGO,URY,7581.052
AGO,USA,10427.39
AGO,UZB,7977.375
AGO,VCT,8587.411
AGO,VNM,10637.65
AGO,WSM,16571.79
AGO,YEM,4352.742
AGO,ZAF,2844.23
AGO,ZMB,1791.822
AGO,ZWE,2170.012
ALB,AFG,4342.117
ALB,AGO,5623.827
ALB,ALB,63.77311
ALB,ARE,3702.809
ALB,ARG,11632.19
ALB,ARM,2077.855
ALB,ATG,8082.156
ALB,AUS,15722.44
ALB,AUT,812.9326
ALB,AZE,2520.89
ALB,BDI,5067.598
ALB,BEL,1589.107
ALB,BEN,4249.507
ALB,BFA,3845.117
ALB,BGD,6719.066
ALB,BGR,324.0465
ALB,BHR,3285.379
ALB,BHS,8763.203
ALB,BIH,303.8697
ALB,BLR,1505.639
ALB,BOL,11056.12
ALB,BRA,9943.985
ALB,BRN,10082.97
ALB,BTN,6426.47
ALB,BWA,7381.93
ALB,CAF,4114.247
ALB,CAN,7606.625
ALB,CHE,1167.984
ALB,CHL,12432.5
ALB,CHN,7686.079
ALB,CIV,4655.998
ALB,CMR,4253.419
ALB,COG,5092.883
ALB,COL,10083.01
ALB,COM,6371.083
ALB,CRI,10418.61
ALB,CYP,1366.294
ALB,CZE,1060.922
ALB,DEU,1493.096
ALB,DMA,8173.444
ALB,DNK,1679.912
ALB,DOM,8638.148
ALB,DZA,1533.738
ALB,ECU,10728.15
ALB,EGY,1623.328
ALB,ESP,1977.061
ALB,EST,2041.537
ALB,ETH,4050.716
ALB,FIN,2122.475
ALB,FJI,16745.12
ALB,FRA,1603.534
ALB,GAB,4676.458
ALB,GBR,1895.345
ALB,GEO,2076.242
ALB,GHA,4453.75
ALB,GIN,4965.696
ALB,GMB,4694.403
ALB,GNB,4758.288
ALB,GNQ,4325.311
ALB,GRC,500.1241
ALB,GRD,8432.149
ALB,GTM,10563.5
ALB,GUY,8516.926
ALB,HND,10354.04
ALB,HRV,585.956
ALB,HTI,8840.73
ALB,HUN,689.0358
ALB,IDN,10212.24
ALB,IND,5322.44
ALB,IRL,2355.755
ALB,IRN,2808.604
ALB,IRQ,2343.134
ALB,ISL,3675.061
ALB,ISR,1680.884
ALB,ITA,611.7626
ALB,JAM,9240.724
ALB,JOR,1773.421
ALB,JPN,9501.873
ALB,KAZ,4615.345
ALB,KEN,5045.083
ALB,KGZ,4444.737
ALB,KHM,8762.518
ALB,KIR,14570.17
ALB,KNA,8144.748
ALB,KOR,8562.792
ALB,KWT,2868.303
ALB,LAO,8119.246
ALB,LBN,1609.733
ALB,LBR,4933.823
ALB,LBY,1126.319
ALB,LCA,8230.828
ALB,LKA,7028.389
ALB,LSO,7902.8
ALB,LTU,1540.066
ALB,LUX,1404.884
ALB,LVA,1765.015
ALB,MAR,2473.619
ALB,MDA,955.9489
ALB,MDG,7283.476
ALB,MDV,6737.666
ALB,MEX,10807.12
ALB,MKD,155.9628
ALB,MLI,4178.792
ALB,MLT,759.1236
ALB,MMR,7666.058
ALB,MNG,6559.96
ALB,MOZ,7605.371
ALB,MRT,4264.968
ALB,MUS,7871.458
ALB,MWI,6321.25
ALB,MYS,9108.602
ALB,NAM,7117.55
ALB,NER,3539.309
ALB,NGA,4207.215
ALB,NIC,10434.08
ALB,NLD,1664.815
ALB,NOR,2160.437
ALB,NPL,6050.166
ALB,NZL,17971.9
ALB,OMN,4096.846
ALB,PAK,4709.623
ALB,PAN,10127.47
ALB,PER,11472.13
ALB,PHL,9850.101
ALB,PLW,11474.01
ALB,PNG,13790.3
ALB,POL,1218.313
ALB,PRT,2472.398
ALB,PRY,10877.48
ALB,QAT,3422.078
ALB,RUS,2063.678
ALB,RWA,4925.967
ALB,SAU,3104.873
ALB,SEN,4656.532
ALB,SGP,9424.125
ALB,SLE,4893.526
ALB,SLV,10535.93
ALB,STP,4764.449
ALB,SUR,8338.317
ALB,SVK,788.7294
ALB,SVN,678.3095
ALB,SWE,2006.998
ALB,SWZ,7621.19
ALB,SYC,6266.362
ALB,TCD,3280.218
ALB,TGO,4321.444
ALB,THA,8241.192
ALB,TJK,4136.511
