country_iso3,area,landlocked,continent,langoff_1
UGA,241038,1,Africa,English
UKR,603677,0,Europe,Ukrainian
URY,176215,0,America,Spanish
USA,9529106,0,America,English
USA,9529106,0,America,English
UZB,447400,1,Asia,Uzbek
VCT,389,0,America,English
VEN,911930,0,America,Spanish
VGB,153,0,America,English
VNM,331114,0,Asia,Vietnamese
VUT,14763,0,Pacific,English
WSM,2842,0,Pacific,Samoan
YEM,547244,0,Asia,Arabic
ZAF,1219912,0,Africa,English
ZAF,1219912,0,Africa,English
ZMB,752614,1,Africa,English
ZWE,390759,1,Africa,English
