country_iso3,inflation_rate,landlocked,gdp_per_capita,area,merchandise_of_gdp,net_barter_of_trade,industry_of_gdp,agriculture_forestry_fishing_of_gdp,gdp_growth,foreign_direct_investment_inflows,langoff_1,gdp_us_dollar,continent,population
DMA,-0.8438269846,0,7597.288894,751,45.12359674,104.7550973,12.53364749,14.05557572,-2.691108924,11051185.73,English,540737037.0,America,71175.0
DNK,0.4520341537,0,53254.85637,43094,59.82692794,100.8986677,19.98745459,0.9575802013,2.342591108,1850770715.0,Danish,302673070847.0,Europe,5683483.0
DOM,0.8367463467,0,6921.520594,48734,37.02531399,109.3756591,28.49636818,5.484695931,6.927018774,2227300000.0,Spanish,71164825258.0,America,10281675.0
DZA,4.784447007,0,4177.886892,2381741,52.03664889,188.3084621,35.72609326,11.57871468,3.7,-537792920.9,Arabic,166361491141.0,Africa,39728020.0
ECU,3.966646233,0,6124.490887,275716,40.13379705,118.9225335,31.87212767,9.454851422,0.09887260835,1322701337.0,Spanish,99290381000.0,America,16212022.0
EGY,10.37049034,0,3562.932658,1001449,25.78373338,144.8927869,36.63020582,11.39406277,4.372019079,6925200000.0,Arabic,329366576819.0,Africa,92442549.0
ESP,-0.5004613214,0,25732.01836,505954,49.71261153,92.3405577,20.08695329,2.735363172,3.83517266,23037070821.0,Spanish,1195119269972.0,Europe,46444832.0
EST,-0.4923260065,0,17522.23019,45227,118.6913147,94.12890382,23.69006384,2.837301029,1.844886677,-715465129.9,Estonian,23048864243.0,Europe,1315407.0
ETH,9.56889956,1,640.5419231,1127127,30.37033901,139.9125262,16.29779364,36.05697539,10.39246302,2626517918.0,Amharic,64589334979.0,Africa,100835453.0
FIN,-0.2079288399,0,42784.69836,336593,51.2911442,92.70763578,23.3058164,2.25370769,0.5436592118,16849216580.0,Swedish,234440080998.0,Europe,5479531.0
FJI,1.374885426,0,5390.714207,18333,63.55515678,108.961394,15.17127027,7.871624085,4.502018108,205373209.1,English,4682546881.0,Pacific,868632.0
FRA,0.03751438051,0,36638.18493,547026,44.17268936,91.16919633,17.67969171,1.605644387,1.112912341,42825414106.0,French,2438207896252.0,Europe,66548272.0
GAB,-0.3387951888,0,7384.700704,267667,57.59534146,143.9722072,48.1836273,4.311629044,3.878899395,41707702.33,French,14383107714.0,Africa,1947690.0
GBR,0.3680468423,0,45039.23595,244110,37.36561298,96.79833371,18.41990247,0.6474648124,2.355524306,45333483122.0,English,2928591002003.0,Europe,65116219.0
GEO,4.003578207,0,4014.185944,69700,63.55511183,137.5521703,19.15249742,7.813761603,3.02220738,1735285392.0,Georgian,14953950557.0,Asia,3725276.0
