source,target,weight
MEX,IND,1578222.722
MEX,ARG,1000919.855
MEX,CRI,735261.3799999998
MEX,GBR,884943.5970000001
MEX,COL,3083601.856
MEX,USA,301470639.54600006
MEX,BRA,2786937.5
MEX,SLV,455216.223
MEX,FRA,1624231.465
MEX,GTM,1513377.1549999998
MEX,SGP,290908.783
MEX,NLD,1478093.404
MEX,ESP,2873096.6030000006
MEX,PAN,891174.2520000001
MEX,DOM,471460.6599999999
MEX,PER,1155964.994
MEX,THA,241216.60500000004
MEX,CHL,1267258.451
MEX,AUS,470274.219
MEX,NIC,736639.3679999997
MEX,CAN,8196358.167
MEX,JPN,2363148.503
MEX,ITA,895065.7419999999
MEX,BEL,461799.948
MEX,DEU,2936038.432
MEX,ECU,360983.3299999999
MEX,KOR,2524138.6850000005
MEX,CHN,4362210.733000001
MEX,HND,420552.2190000001
IND,MEX,2768061.268000001
IND,ARG,516552.99800000014
IND,GBR,8710124.657999998
IND,MUS,757255.2520000002
IND,DNK,675490.4569999996
IND,PAK,1962885.9099999992
IND,GRC,318152.7210000001
IND,KEN,3183355.541
IND,GHA,641831.3530000002
IND,COL,963477.035
IND,CHE,923980.213
IND,NZL,313808.4869999999
IND,BEN,407583.753
IND,CZE,447889.48900000006
IND,SAU,6970050.653
IND,MLT,329465.9639999999
IND,MMR,859531.448
IND,NOR,537720.482
IND,AFG,534247.6449999998
IND,CMR,212587.08700000003
IND,JOR,535012.2609999999
IND,USA,40160889.51100001
IND,IRL,508515.9489999999
IND,FIN,243810.71099999995
IND,HUN,345063.78
IND,UKR,251583.669
IND,BRA,3081904.703
IND,UGA,568403.868
IND,IRQ,1135171.6900000006
IND,AGO,271553.187
IND,BHR,549364.6029999999
IND,BTN,333332.3119999999
IND,TUR,4435413.298
IND,DZA,848061.7080000002
IND,YEM,456525.655
IND,NGA,2281951.3170000007
IND,AUT,329101.49700000003
IND,FRA,4771115.955
IND,COG,206383.352
IND,IDN,2866841.807000001
IND,KWT,1209825.3360000004
IND,SVN,237102.13299999983
IND,RUS,1611042.6320000002
IND,BGR,183248.739
IND,GTM,255340.249
IND,SWE,691447.2899999998
IND,SGP,6770799.311999998
IND,NPL,3193546.343
IND,NLD,4874890.266999999
IND,GIN,271192.84900000005
IND,QAT,968119.9499999996
IND,MWI,177624.649
IND,PRT,581734.662
IND,ESP,3148928.307
IND,ISR,2905499.82
IND,PAN,240370.128
IND,TGO,455103.39700000006
IND,MAR,328625.8230000002
IND,ZAF,3812502.186999999
IND,PER,754938.8809999998
IND,THA,3105156.1440000003
IND,CHL,665163.8519999997
IND,SEN,522098.6759999999
IND,ZWE,233884.056
IND,AUS,3252036.388
IND,LBN,244119.784
IND,MOZ,1476504.437
IND,ETH,762879.614
IND,BGD,5508356.977000002
IND,LKA,5499151.383000002
IND,IRN,3126080.798
IND,TUN,213749.983
IND,CAN,2078142.805
IND,JPN,4436071.939
IND,ITA,4220557.142999999
IND,POL,988789.745
IND,BEL,5003686.680000002
IND,DEU,6950722.707
IND,EGY,2355369.1
IND,MYS,4876851.552999999
IND,ECU,173321.221
IND,PHL,1303796.245
IND,ZMB,334514.226
IND,KOR,3581374.2450000006
IND,ARE,29970756.031000007
IND,OMN,2051624.226
IND,VNM,5356405.467000001
IND,CHN,9566141.217999998
IND,HND,170625.98700000002
IND,TZA,1670669.356
IND,CIV,385453.8089999998
ARG,MEX,820379.50853
ARG,IND,2003197.2202500005
ARG,GBR,721084.8875800003
ARG,DNK,281596.55052
ARG,PAK,397883.5659899998
ARG,COL,393977.85902
ARG,CHE,1256754.4424899998
ARG,SAU,421376.83771
ARG,JOR,213390.75956
ARG,USA,3434234.21106
ARG,IRL,232014.17710000003
ARG,BOL,621672.1173000004
ARG,BRA,10097997.64689
ARG,TUR,334796.1567400001
ARG,DZA,1147789.4285
