country_iso3,net_barter_of_trade
AFG,144.7518695
ALB,94.33720177
DZA,262.5470485
ASM,131.1214732
AGO,244.3291519
ATG,68.37541426
ARG,160.564925
ARM,128.2433543
ABW,103.9850917
AUS,200.2885825
AUT,88.72963314
AZE,199.3036857
BHS,86.37412316
BHR,138.7356468
BGD,57.47437649
BRB,112.4018374
BLR,110.2279572
BEL,94.86824368
BLZ,96.97659255
BEN,137.2188236
BMU,74.94434118
BTN,134.9239256
BOL,181.1220112
BIH,101.9771048
BWA,82.76717855
BRA,134.179349
VGB,49.618629
BRN,226.0161692
BGR,106.992395
BFA,139.8371615
BDI,164.5119637
CPV,104.806723
KHM,67.73943785
CMR,162.0134115
CAN,117.8183923
CYM,71.67601928
CAF,76.73652007
TCD,217.8429308
CHL,217.8286291
CHN,79.04874299
COL,183.9168246
COM,97.90297633
COD,143.9690815
COG,211.3521221
CRI,99.8176767
CIV,160.5544104
HRV,100.8375595
CUB,182.4209691
CYP,96.55800006
CZE,102.7946126
DNK,100.0856174
DJI,107.8722937
DMA,106.6591703
DOM,100.2990038
ECU,167.2646926
EGY,148.8186622
SLV,80.5127644
GNQ,228.8670846
ERI,89.1579738
EST,96.53669807
ETH,145.3578014
FRO,97.70327877
FJI,113.4650597
FIN,88.13399445
FRA,89.9334023
PYF,78.89447436
GAB,226.3663882
GMB,98.176995
GEO,140.9235456
DEU,93.15072087
GHA,190.2175968
GIB,52.56376933
GRC,89.8408118
GRL,72.90780251
GRD,96.99615811
GUM,103.3829572
GTM,258.2402996
GIN,114.8774737
GNB,80.92461737
GUY,127.8636111
HTI,273.8508193
HND,213.8256444
HKG,96.1430379
HUN,97.81680877
ISL,88.72937642
IND,89.99256996
IDN,134.2163952
IRN,184.2908369
IRQ,238.5196939
IRL,95.71018889
ISR,91.49836583
ITA,94.03176162
JAM,92.15338569
JPN,61.59802886
JOR,78.81172359
KAZ,232.0804198
KEN,92.13262128
KIR,85.12066056
PRK,83.14735942
KOR,51.05174842
KWT,220.7903647
KGZ,128.2204491
LAO,110.60392
LVA,104.8307651
LBN,98.07527278
LSO,73.8478424
LBR,149.2426781
LBY,209.0821118
LTU,93.88788638
LUX,77.90731105
MAC,87.63554462
MKD,86.30003013
MDG,76.8064817
MWI,101.9605141
MYS,114.7991949
MDV,87.34267166
MLI,185.7572616
MLT,136.1128881
MHL,99.913232
MRT,163.9744581
MUS,98.68258119
MEX,118.426444
FSM,88.77017342
MDA,73.629551
MNG,207.0824438
MAR,104.8920643
MOZ,101.7156638
MMR,107.90628
NAM,124.8830323
NRU,151.9501816
NPL,71.99152515
NLD,91.78790653
NCL,227.2767357
NZL,130.9674814
NIC,278.5234735
NER,182.0304457
NGA,219.1989891
MNP,85.99964292
NOR,157.4123989
OMN,230.3003528
PAK,50.45370633
PLW,84.0194668
PAN,180.4503124
PNG,226.4494699
PRY,113.2161519
PER,203.2808837
PHL,75.11144806
POL,99.34090465
PRT,90.98701987
QAT,213.0959302
ROU,109.0672995
RUS,194.4982951
RWA,181.854096
WSM,80.56543551
STP,115.9719663
SAU,148.2665575
SEN,106.0818813
SRB,112.1203858
SYC,83.22307843
SLE,65.86315799
SGP,81.87670111
SVK,91.96647031
SVN,94.35868968
SLB,95.07954554
SOM,89.08807145
ZAF,146.2948344
ESP,90.06163588
LKA,99.79717962
KNA,69.7843723
LCA,99.24634389
VCT,102.7429679
SDN,246.9933386
SUR,140.5565891
SWZ,119.0191438
SWE,92.83549928
CHE,103.6055837
SYR,143.9692008
TJK,102.3762515
TZA,153.9072005
THA,93.82092079
TGO,115.1477638
TON,102.4640609
TTO,139.9827214
TUN,112.7946423
TUR,89.02036285
TKM,223.4511001
TCA,73.33207564
UGA,121.3141492
UKR,106.5521884
ARE,176.1497815
GBR,101.0184871
USA,94.59459459
URY,104.9166011
UZB,189.1797913
VUT,84.01475416
VEN,447.0234274
VNM,126.2725419
PSE,75.90355056
YEM,171.4306854
ZMB,197.4470404
ZWE,111.413525
