country_iso3,merchandise_of_gdp
AFG,38.7041485662647
ALB,56.8624113125754
DZA,60.3640647190591
ASM,113.157894736842
AND,53
AGO,78.3059714796182
ATG,42.7201281408508
ARG,29.8719291780486
ARM,54.0222821392664
ABW,435.219125328659
AUS,36.9050252078536
AUT,85.5550043383505
AZE,67.7178136400292
BHS,37.7341628229126
BHR,112.521996303142
BGD,47.1501647240183
BRB,48.9533011272142
BLR,141.161141759833
BEL,180.354554932841
BLZ,98.2339854693831
BEN,33.0954235595754
BMU,14.4629287256417
BTN,96.674285471351
BOL,67.958841888504
BIH,90.6476283908872
BWA,85.6828014704467
BRA,18.8442708987175
BRN,86.8756924001202
BGR,105.931360066023
BFA,39.7755133137476
BDI,39.1355155379094
CPV,54.4504815986588
KHM,124.743354607075
CMR,38.5253691825243
CAN,51.0211014884086
CYM,23.8639892559879
CAF,20.5087590921589
TCD,66.5444793771431
CHL,61.8956459942552
CHN,48.2270401920596
COL,33.1840673361087
COM,29.6162706984114
COD,46.8270798872576
COG,133.272381880612
CRI,62.2693413482054
CIV,76.1561865516736
HRV,57.5667363387379
CUB,29.9797072039426
CUW,100.635152978092
CYP,38.0766239191744
CZE,137.245272930456
DNK,60.3270660381327
DJI,48.7433063000064
DMA,50.8955698307916
DOM,44.6340018131851
ECU,58.983309388498
EGY,37.8961498067245
SLV,75.2965791895893
GNQ,95.854617057799
ERI,66.8280345455347
EST,146.04927425752
ETH,36.8387546550886
FRO,80.0898798981484
FJI,86.129914710793
FIN,59.3677534981451
FRA,46.0088502465644
GAB,73.7549274185716
GMB,31.4252473183982
GEO,61.2545812776947
DEU,72.8781041162014
GHA,72.7629736251465
GRC,35.5537488915781
GRL,52.375380409517
GRD,47.1324994494312
GUM,15.9109149277689
GTM,57.628496306513
GIN,52.1581201660178
GNB,43.8254069552064
GUY,78.5613042705898
HTI,29.1111793515244
HND,107.863694087476
HKG,388.883317152856
HUN,151.490138572
ISL,66.9311022193534
IND,42.0924840461063
IDN,42.6591465057498
IRN,33.3628976246081
IRQ,70.5406388710808
IRL,80.938521827632
ISR,53.7883174443565
ITA,47.2098266699967
JAM,55.8130314128614
JPN,27.260657973478
JOR,91.2337891894932
KAZ,62.9414929838657
KEN,48.9542767822588
KIR,55.584600625557
PRK,86
KOR,86.1480328301884
KWT,82.5563415391273
KGZ,100.681437159668
LAO,52.5074111004857
LVA,103.683791222843
LBN,66.1555255083281
LSO,142.357491199497
LBR,58.8407005838199
LBY,77.9840674215495
LTU,137.413412785793
LUX,82.8702715202826
MAC,23.8723817518396
MKD,109.62548418091
MDG,38.9116138117537
MWI,48.138426350224
MYS,139.471812471414
MDV,65.2765098531897
MLI,44.0627166578842
MLT,110.790460950395
MHL,104.536597972571
MRT,77.1068870742465
MUS,66.9710290128143
MEX,60.1984972016312
FSM,83.8415221765645
MDA,88.039962899103
MNG,109.665916520104
MNE,69.79839689094
MAR,65.034715935211
MOZ,68.9494409329661
MMR,33.7167725169205
NAM,87.8355554892372
NPL,30.9549984678486
NLD,139.529538870774
NZL,44.4312775672448
NIC,107.301231573617
NER,39.2114340697603
NGA,42.4698075454665
MNP,48.2853223593964
NOR,50.4118701555134
OMN,104.772361275533
PAK,32.4902104321192
PLW,68.5588572711239
PAN,104.816901246029
PNG,62.1632228796478
PRY,59.6304586516203
PER,48.9765657046099
PHL,47.818063289947
POL,75.5805490876543
PRT,58.2167543311327
QAT,81.5233384096972
ROU,76.1018277481844
RUS,41.3427544275876
RWA,36.3753245066492
WSM,55.8718544245614
STP,62.6378924213075
SAU,73.9356798723291
SEN,47.4394575995592
SRB,64.235073607247
SYC,143.738193391937
SLE,70.245272337373
SGP,277.526313416792
SXM,91.9288613034137
SVK,161.338254531613
SVN,136.292608658633
SLB,84.4800336532469
ZAF,56.0121104106237
ESP,46.1975625200227
LKA,46.7203458206856
KNA,35.7073303290382
LCA,54.3440900373466
VCT,54.7232340938347
SDN,33.5606299632224
SUR,92.8254912814835
SWZ,80.0746893998211
SWE,63.4023223326953
CHE,61.3594923573866
TJK,68.4222479390511
TZA,44.821933449125
THA,121.720523608315
TLS,31.477387384432
TGO,86.9215086051715
TON,49.9368686453048
TTO,96.1545591683343
TUN,91.2430219468401
TUR,44.7980072656482
TKM,70.4675028506271
TUV,69.746157186973
UGA,28.0700015655905
UKR,92.5804755879079
ARE,151.702461172787
GBR,44.7884147366718
USA,24.1178217113198
URY,38.8595748476717
UZB,41.9808233766003
VUT,48.1722272694289
VEN,44.4925509533089
VNM,150.255897592702
YEM,64.0461186569839
ZMB,68.9656193231028
ZWE,81.5208124527551
