country_iso3,foreign_direct_investment_inflows
AFG,52173421
ALB,1048706682.05458
DZA,2571237024.68517
AGO,-3023770965.83688
ATG,65160596.2962963
ARG,10839930944.6815
ARM,653219756.47225
ABW,488156424.581006
AUS,65554890649.5348
AUT,22983942931.9264
AZE,4485120000
BHS,666621000
BHR,780851063.829787
BGD,1264725163.33408
BRB,459552936.365
BLR,4002400000
BEL,163624381384.585
BLZ,95348525.1917313
BEN,161302390.821902
BMU,-257865988.558357
BTN,31141614.8601365
BOL,858941070.400943
BIH,471610992.220788
BWA,293208060.474684
BRA,102427228231.42
VGB,58182686000
BRN,691170274.5029
BGR,2103810000
BFA,143845512.327138
BDI,3354999.1805922
CPV,102246382.223796
KHM,1538883424.90021
CMR,653266626.571786
CAN,38338330427.428
CYM,16716537000
CAF,36908455.8896
TCD,281900000
CHL,25564944876.5765
CHN,280072219149.935
COL,14647048638.4496
COM,23118440.5401981
COD,1596024303.85686
COG,298288001.186385
CRI,2733268839.98155
CIV,301972462.517861
HRV,1248979435.63125
CUW,70502234.6368715
CYP,40445860585.079
CZE,4188736491.29368
DNK,13558894634.3461
DJI,79000230.6986794
DMA,14192972.5925926
DOM,2197500000
ECU,646084358.687904
EGY,-482700000
SLV,122500004.314785
GNQ,1975000000
ERI,39000000
EST,1119148299.05952
ETH,628624805.998665
FJI,217158525.728722
FIN,-6008001205.17497
FRA,44205811126.5792
PYF,133839517.312067
GAB,1123536918.98497
GMB,36077136.0813735
GEO,1170087549.5
DEU,97535403952.55
GHA,3247588000
GRC,1092191387.83039
GRD,42648183.7037037
GTM,876760590
GIN,956060000
GNB,25024047.388377
GUY,246800000
HTI,119000000
HND,1042571020.7703
HKG,96135081265.0953
HUN,10740966550.9834
ISL,1106958185.40328
IND,36498654597.8589
IDN,20564938226.7185
IRN,4276718690
IRQ,2082000000
IRL,23699352432.596
ISR,8653000000
ITA,34465481829.5319
JAM,172757165.409787
JPN,-850717035.068239
JOR,1486056338.02817
KAZ,13760291528.5034
KEN,1450460112.22249
KIR,-348737.579186123
PRK,103125000
KOR,9773000000
XKX,535326481.785879
KWT,3259067552.4562
KGZ,685760800
LAO,300743507.13
LVA,1519518896.45563
LBN,3137050288.4
LSO,61173319.2085146
LBR,2086006933.33333
LBY,0
LIE,26414902947.0333
LTU,1880811089.20549
LUX,8843156716.781
MAC,1754336190.32972
MKD,507920732.789
MDG,815534454.532063
MWI,812751769.848633
MYS,15119439203.9543
MDV,423530663.953749
MLI,556147161.584486
MLT,7806911229.55319
MHL,-4380881.13767906
MRT,588749564.2399
MUS,433331010.9385
MEX,23835278742
FSM,0
MDA,358990000
MNG,4571161962.80891
MNE,556662007.52715
MAR,2521362080.65559
MOZ,3663937118.45157
MMR,2519813313.27459
NAM,803600584.603823
NRU,0
NPL,94022157.1167852
NLD,332071022439.732
NCL,1758141868.63992
NZL,1378410924.39879
NIC,936300000
NER,1067186136.05029
NGA,8841062050.7726
NOR,10296323075.6966
OMN,1629144343.30299
PAK,1326000000
PLW,8326127.02949998
PAN,4395600000
PNG,36419303.6839465
PRY,463994000
PER,7682261108.57854
PHL,2007150725.40003
POL,18534000000
PRT,9821076889.908
QAT,938516483.516483
ROU,2370097222.61814
RUS,55083630000
RWA,112127535.812557
WSM,8984743.31145687
STP,32152348.5469533
SAU,16308280000
SEN,338661995.579347
SRB,4930532020.14556
SYC,143240665.103455
SLE,950477791.380298
SGP,49155657316.2946
SXM,-48480446.9273743
SVK,5431592591.915
SVN,875946337.676014
SLB,120052792.508287
SOM,102000000
ZAF,4139289122.68737
ESP,26832032514.651
LKA,955920000
KNA,109632707.037037
LCA,96416427.7777778
VCT,85623860.3703704
SDN,1734376994.48388
SUR,145288761.2
SWZ,98708321.7157849
SWE,6979353755.44351
CHE,20764483834.5029
SYR,804162635.3
TJK,145883670
TZA,1229361018.44368
THA,2473685995.7
TLS,49058168.54
TGO,728710878.416044
TON,7641551.95808181
TTO,41047454.4570203
TUN,432666011.578487
TUR,16182000000
TKM,3391067000
TUV,-119087.670246489
UGA,894293858
UKR,7207000000
ARE,7152095825.6
GBR,27012050072.3452
USA,263497000000
URY,2690094196.66277
UZB,1615052149.82
VUT,61117730.8986634
VEN,5855000000
VNM,7430000000
PSE,238840690.55525
YEM,-517842928.476896
ZMB,1108500000
ZWE,344300000
