country_iso3,gdp_growth
AFG,0.4263547929
ALB,2.545321845
DZA,2.9
ASM,0.2936857562
AND,-0.008069753411
AGO,3.471976345
ATG,-1.958612628
ARG,6.003951693
ARM,4.699999999
ABW,3.44605475
AUS,2.462756312
AUT,2.922797284
AZE,-1.572997621
BHS,0.6133841584
BHR,1.983515012
BGD,6.464379123
BRB,-0.6732891832
BLR,5.37870745
BEL,1.694513899
BLZ,1.922034605
BEN,2.963752919
BMU,-3.742744317
BTN,7.982617041
BOL,5.204092308
BIH,0.9595112472
BWA,6.048361455
BRA,3.974425406
VGB,-5.8
BRN,3.745318352
BGR,2.354556923
BFA,6.622562613
BDI,4.032602496
CPV,3.968886345
KHM,7.069569946
CMR,4.129277161
CAN,3.146881372
CYM,1.169062695
CAF,4.194615337
TCD,0.08286979844
CHI,
CHL,6.110918829
CHN,9.550832179
COL,6.947891982
COM,4.099846955
COD,6.87467089
COG,2.205919363
CRI,4.30710166
CIV,-4.387254789
HRV,-0.1983692635
CUB,2.802300836
CUW,0.6126085768
CYP,0.4014379411
CZE,1.760359624
DNK,1.336777767
DJI,7.3
DMA,-0.2235506882
DOM,3.133423005
ECU,7.868140919
EGY,1.764571949
SLV,3.815356138
GNQ,6.52392363
ERI,8.679799936
EST,7.443936104
ETH,11.17829623
FRO,
FJI,2.705143029
FIN,2.547664838
FRA,2.192700633
PYF,-2.5
GAB,7.091753343
GMB,-8.130444223
GEO,7.399999867
DEU,3.925192705
GHA,14.04712363
GIB,
GRC,-9.132494172
GRL,-0.496519392
GRD,0.764976824
GUM,0.12292563
GTM,4.162048937
GIN,5.612104279
GNB,8.084779734
GUY,5.19629812
HTI,6.154225158
HND,3.835690662
HKG,4.814646111
HUN,1.937107794
ISL,1.88162028
IND,5.241344743
IDN,6.169784208
IRN,2.645717918
IRQ,7.5464712
IRL,0.3434411125
IMN,2
ISR,4.783497509
ITA,0.707333347
JAM,1.730376267
JPN,-0.1154213398
JOR,2.737179832
KAZ,7.400000001
KEN,6.10826372
KIR,1.594561102
PRK,3.686
KOR,3.685667782
XKX,4.375284575
KWT,9.628406975
KGZ,5.956274309
LAO,8.038652681
LVA,6.46884995
LBN,0.8673398773
LSO,5.355154953
LBR,8.20076584
LBY,-62.07591958
LIE,1.8
LTU,6.03900816
LUX,2.539235768
MAC,21.67270765
MKD,2.339886045
MDG,1.578429421
MWI,4.854055109
MYS,5.293912834
MDV,8.566733531
MLI,3.21313378
MLT,0.4670505643
MHL,-0.7561434602
MRT,4.172783283
MUS,4.077538074
MEX,3.66300793
FSM,3.188574755
MDA,5.818166405
MCO,7
MNG,17.29077758
MNE,3.228419022
MAR,5.245697297
MOZ,7.417384316
MMR,5.591482378
NAM,5.091338117
NRU,10
NPL,3.421828241
NLD,1.551189312
NCL,4.4
NZL,2.358784916
NIC,6.316709606
NER,2.357756936
NGA,5.307924204
MNP,-7.692307692
NOR,0.9814694973
OMN,2.658868673
PAK,2.748405917
PLW,6.683682862
PAN,11.31373175
PNG,1.107543597
PRY,4.249111045
PER,6.327192402
PHL,3.858232828
POL,4.757638004
PRT,-1.696164781
PRI,-0.3585106283
QAT,13.37517641
ROU,1.906067707
RUS,4.300029186
RWA,7.958406046
WSM,4.173393458
SMR,-8.314773571
STP,4.398201685
SAU,9.996846552
SEN,1.458388671
SRB,2.036276689
SYC,7.887279597
SLE,6.315045036
SGP,6.337870814
SXM,4.600002996
SVK,2.847218178
SVN,0.8613277327
SLB,7.2720469
SOM,2.6
ZAF,3.284168142
SSD,-4.640316736
ESP,-0.8143734552
LKA,8.404733021
KNA,1.828435302
LCA,5.483411333
MAF,
VCT,-0.4192961684
SDN,-1.967695859
SUR,5.849367784
SWZ,2.247229761
SWE,3.195333235
CHE,1.692808513
SYR,4.6
TJK,7.400640543
TZA,7.672155435
THA,0.8401320831
TLS,5.805105362
TGO,6.398199052
TON,6.818276144
TTO,-0.294354409
TUN,-1.91717768
TUR,11.20011058
TKM,14.69999993
TCA,3.84
TUV,7.515954206
UGA,9.391655493
UKR,5.465501846
ARE,6.930271629
GBR,1.540147403
USA,1.550835504
URY,5.162133022
UZB,7.784905864
VUT,1.223225535
VEN,4.176425359
VNM,6.240302749
VIR,-8.158453195
PSE,9.600808489
YEM,-12.71482302
ZMB,5.564602337
ZWE,14.19391296
ARB,3.748900536
CSS,1.131679311
CEB,3.155178246
EAR,4.980453944
EAS,4.610341168
EAP,8.465996727
TEA,8.466562768
EMU,1.686550688
ECS,2.40453772
ECA,6.307341543
TEC,5.796417419
EUU,1.83195467
FCS,0.5045349513
HPC,4.642322907
HIC,1.866310378
IBD,5.996897443
IBT,5.899120648
IDB,4.80773796
IDX,4.196145068
IDA,4.501780275
LTE,6.697350598
LCN,4.368479757
LAC,4.38699683
TLA,4.503459348
LDC,3.878781833
LMY,5.967523697
LIC,2.238609157
LMC,4.845035517
MEA,3.75082637
MNA,-0.9390131329
TMN,-1.016674039
MIC,6.025141024
NAC,1.703738204
INX,
OED,1.85414959
OSS,7.529352479
PSS,3.608352214
PST,1.602608324
PRE,4.591443734
SST,6.411525294
SAS,5.137576602
TSA,5.137576602
SSF,4.483468245
SSA,4.484024803
TSS,4.483468245
UMC,6.311011593
WLD,3.137774129
