country_iso3,gdp_per_capita
AFG,519.8889126
ALB,4531.020806
DZA,4109.703442
ASM,11003.82976
AND,38964.90448
AGO,4095.810057
ATG,15383.5764
ARG,14613.04182
ARM,3914.527854
ABW,29350.80502
AUS,54027.96682
AUT,47309.36627
AZE,4147.089716
BHS,32719.66659
BHR,23742.93734
BGD,1563.767819
BRB,17391.66891
BLR,5761.74712
BEL,44089.31009
BLZ,4945.857699
BEN,1136.59397
BMU,111820.5815
BTN,3286.596744
BOL,3351.124344
BIH,5394.579953
BWA,7893.418671
BRA,9928.643063
BRN,28571.60829
BGR,8334.081728
BFA,734.996268
BDI,292.9980095
CPV,3292.633503
KHM,1385.260066
CMR,1425.106368
CAN,45129.35644
CYM,81513.16302
CAF,450.900697
TCD,665.9488849
CHL,14998.81706
CHN,8879.438667
COL,6376.706716
COM,1323.814958
COD,467.0742317
COG,2173.680253
CRI,12225.57449
CIV,2111.026557
HRV,13451.62495
CUB,8541.213686
CUW,19457.53152
CYP,26444.07438
CZE,20636.19995
DNK,57610.09818
DJI,2914.374595
DMA,7274.517731
DOM,7609.353275
ECU,6213.503127
EGY,2444.290387
SLV,3910.255969
GNQ,9667.857801
EST,20407.92738
ETH,768.5230154
FRO,59993.09063
FJI,6101.02389
FIN,46297.49635
FRA,38685.25849
GAB,7230.434912
GMB,679.7550717
GEO,4357.000936
DEU,44442.77184
GHA,2020.68179
GRC,18562.22943
GRL,50321.36875
GRD,10152.83281
GUM,36601.91988
GTM,4454.04815
GIN,855.5752706
GNB,738.5499449
GUY,6124.95367
HTI,1294.239628
HND,2453.727115
HKG,46165.85651
HUN,14605.85435
ISL,72010.14903
IND,1980.66702
IDN,3837.578024
IRN,5520.314782
IRQ,5076.690795
IRL,70413.12183
IMN,83477.83429
ISR,40474.66813
ITA,32326.67421
JAM,5070.099503
JPN,38386.51115
JOR,4231.51828
KAZ,9247.581331
KEN,1572.345734
KIR,1640.57196
KOR,31616.8434
XKX,4045.614209
KWT,29759.46744
KGZ,1242.769643
LAO,2423.847598
LVA,15643.48563
LBN,7792.59886
LSO,1102.94441
LBR,698.7023587
LBY,5756.699325
LIE,171253.9643
LTU,16843.69965
LUX,107361.3069
MAC,81044.88998
MKD,5432.414531
MDG,515.2933093
MWI,497.3104097
MYS,10259.30481
MDV,9577.702376
MLI,830.0215153
MLT,28250.69777
MHL,3672.576783
MRT,1577.86437
MUS,10484.90583
MEX,9287.849587
FSM,3289.642117
MDA,3509.69345
MCO,167517.0597
MNG,3669.406934
MNE,7803.411137
MAR,3035.454433
MOZ,461.4150941
MMR,1257.803576
NAM,5367.114673
NRU,10360.77731
NPL,1048.453755
NLD,48554.99228
NZL,42992.89527
NIC,2159.161926
NER,517.9770442
NGA,1968.565398
MNP,27584.74351
NOR,75496.75406
OMN,15127.88819
PAK,1464.926195
PLW,16065.29283
PAN,15146.40237
PNG,2695.249009
PRY,5678.869972
PER,6710.507602
PHL,3123.245642
POL,13864.68176
PRT,21437.3475
PRI,31108.75275
QAT,59124.86727
ROU,10807.00917
RUS,10720.33266
RWA,772.3169891
WSM,4259.634172
SMR,45399.02906
STP,1813.807434
SAU,20802.46631
SEN,1361.701972
SRB,6292.543629
SYC,15906.08391
SLE,499.3809746
SGP,61176.45636
SXM,29369.05683
SVK,17504.21134
SVN,23454.73952
SLB,2332.844216
SOM,309.0543803
ZAF,6131.47945
ESP,28100.58624
LKA,4076.747003
KNA,19158.7448
LCA,11047.44499
VCT,7213.025857
SDN,1103.000026
SUR,6295.560562
SWZ,3914.421839
SWE,53791.50873
CHE,83352.08865
TJK,848.6723799
TZA,1004.906588
THA,6593.818352
TLS,1286.406785
TGO,830.7452767
TON,4513.432531
TTO,16173.74005
TUN,3481.241106
TUR,10589.66772
TKM,6587.092604
TCA,27545.12879
TUV,3574.065288
UGA,746.8307512
UKR,2640.675677
ARE,40644.79119
GBR,40304.72308
USA,60109.65573
URY,18690.89384
UZB,1826.566919
VUT,3082.475083
VNM,2365.521615
VIR,36287.87949
PSE,3620.360487
YEM,960.528848
ZMB,1535.196574
ZWE,1335.665064
