country_iso3,population
AFG,36296111.0
ALB,2873457.0
DZA,41389174.0
ASM,55617.0
AND,76997.0
AGO,29816769.0
ATG,95425.0
ARG,44044811.0
ARM,2944789.0
ABW,105361.0
AUS,24601860.0
AUT,8797566.0
AZE,9854033.0
BHS,381749.0
BHR,1494077.0
BGD,159685421.0
BRB,286229.0
BLR,9498264.0
BEL,11375158.0
BLZ,375775.0
BEN,11175192.0
BMU,63873.0
BTN,745563.0
BOL,11192853.0
BIH,3351534.0
BWA,2205076.0
BRA,207833825.0
VGB,29567.0
BRN,424481.0
BGR,7075947.0
BFA,19193236.0
BDI,10827010.0
CPV,537499.0
KHM,16009413.0
CMR,24566070.0
CAN,36545295.0
CYM,63382.0
CAF,4596023.0
TCD,15016761.0
CHI,168666.0
CHL,18470435.0
CHN,1386395000.0
COL,48909844.0
COM,813890.0
COD,81398765.0
COG,5110701.0
CRI,4949955.0
CIV,24437475.0
HRV,4124531.0
CUB,11339255.0
CUW,160175.0
CYP,1179685.0
CZE,10594438.0
DNK,5764980.0
DJI,944100.0
DMA,71460.0
DOM,10513111.0
ECU,16785356.0
EGY,96442590.0
SLV,6388124.0
GNQ,1262008.0
EST,1317384.0
ETH,106399926.0
FRO,48326.0
FJI,877460.0
FIN,5508214.0
FRA,66918020.0
PYF,276108.0
GAB,2064812.0
GMB,2213900.0
GEO,3728004.0
DEU,82657002.0
GHA,29121464.0
GIB,33723.0
GRC,10754679.0
GRL,56172.0
GRD,110874.0
GUM,164281.0
GTM,16087418.0
GIN,12067516.0
GNB,1828146.0
GUY,775218.0
HTI,10982367.0
HND,9429016.0
HKG,7391700.0
HUN,9787966.0
ISL,343400.0
IND,1338676779.0
IDN,264650969.0
IRN,80673888.0
IRQ,37552789.0
IRL,4807388.0
IMN,83610.0
ISR,8713300.0
ITA,60536709.0
JAM,2920848.0
JPN,126785797.0
JOR,9785840.0
KAZ,18037776.0
KEN,50221146.0
KIR,114153.0
PRK,25429816.0
KOR,51361911.0
XKX,1791003.0
KWT,4056102.0
KGZ,6198200.0
LAO,6953031.0
LVA,1942248.0
LBN,6819373.0
LSO,2091532.0
LBR,4702224.0
LBY,6580723.0
LIE,37805.0
LTU,2828403.0
LUX,596336.0
MAC,622578.0
MKD,2081996.0
MDG,25570511.0
MWI,17670193.0
MYS,31104655.0
MDV,496398.0
MLI,18512429.0
MLT,467999.0
MHL,58053.0
MRT,4282582.0
MUS,1264613.0
MEX,124777326.0
FSM,111461.0
MDA,2755158.0
MCO,38392.0
MNG,3113788.0
MNE,622373.0
MAR,35581257.0
MOZ,28649007.0
MMR,53382521.0
NAM,2402623.0
NRU,10577.0
NPL,27632682.0
NLD,17131296.0
NCL,270000.0
NZL,4813600.0
NIC,6384843.0
NER,21602388.0
NGA,190873247.0
MNP,56553.0
NOR,5276968.0
OMN,4665926.0
PAK,207906210.0
PLW,17809.0
PAN,4106764.0
PNG,8438038.0
PRY,6867058.0
PER,31444299.0
PHL,105172921.0
POL,37974826.0
PRT,10300300.0
PRI,3325286.0
QAT,2724727.0
ROU,19588715.0
RUS,144496739.0
RWA,11980960.0
WSM,195358.0
SMR,33671.0
STP,207086.0
SAU,33101183.0
SEN,15419354.0
SRB,7020858.0
SYC,95843.0
SLE,7488427.0
SGP,5612253.0
SXM,40574.0
SVK,5439232.0
SVN,2066388.0
SLB,636030.0
SOM,14589165.0
ZAF,57009751.0
SSD,10910774.0
ESP,46593236.0
LKA,21444000.0
KNA,52036.0
LCA,180955.0
MAF,36569.0
VCT,109826.0
SDN,40813398.0
SUR,570501.0
SWZ,1124808.0
SWE,10057698.0
CHE,8451840.0
SYR,17095669.0
TJK,8880270.0
TZA,54660345.0
THA,69209817.0
TLS,1243260.0
TGO,7698476.0
TON,102002.0
TTO,1384060.0
TUN,11433438.0
TUR,81116451.0
TKM,5757667.0
TCA,37116.0
TUV,11365.0
UGA,41166588.0
UKR,44831135.0
ARE,9487206.0
GBR,66058859.0
USA,325122128.0
URY,3436645.0
UZB,32388600.0
VUT,285499.0
VEN,29402480.0
VNM,94600643.0
VIR,107281.0
PSE,4454805.0
YEM,27834811.0
ZMB,16853608.0
ZWE,14236599.0
