country_iso3,gni_atlas
AFG,19316759740.0
ALB,12331894495.0
DZA,163238405846.0
AGO,102809282435.0
ATG,1366907933.0
ARG,578841856264.0
ARM,11623145814.0
ABW,2857452095.0
AUS,1268539634473.0
AUT,396187902438.0
AZE,40266922925.0
BHS,11796198733.0
BHR,31742032641.0
BGD,242749969790.0
BRB,4599044734.0
BLR,50330116517.0
BEL,483002988303.0
BLZ,1660271014.0
BEN,12203345267.0
BMU,7213810392.0
BTN,2085855962.0
BOL,34575847668.0
BIH,17155833809.0
BWA,14760338763.0
BRA,1808497783401.0
BRN,12650894476.0
BGR,54026656937.0
BFA,12947522906.0
BDI,3026208534.0
CPV,1655261811.0
KHM,19720020829.0
CMR,32908755262.0
CAN,1567757783782.0
CYM,3348827830.0
CAF,2006376458.0
TCD,9630753005.0
CHL,245103185189.0
CHN,12111244823472.0
COL,290127182057.0
COM,1043367469.0
COD,37221270604.0
COG,8703039215.0
CRI,56908615253.0
CIV,49580100955.0
HRV,52282190940.0
CUW,3059841924.0
CYP,21242660833.0
CZE,193979491921.0
DNK,326789059865.0
DJI,2818820861.0
DMA,517802270.6
DOM,74568930202.0
ECU,98409174201.0
EGY,292428031961.0
SLV,23010030175.0
GNQ,8216527391.0
EST,24799280511.0
ETH,78378593590.0
FJI,4708577199.0
FIN,246713861638.0
FRA,2561114966303.0
GAB,13440719658.0
GMB,1458120549.0
GEO,15049350074.0
DEU,3608070823382.0
GHA,54533034700.0
GRC,192987793873.0
GRD,969208177.6
GTM,65898070614.0
GIN,9948321889.0
GNB,1237220688.0
GUY,4581603155.0
HTI,14376086342.0
HND,21170279804.0
HKG,342873289074.0
HUN,129104066060.0
ISL,20683023302.0
IND,2439593779966.0
IDN,934207964273.0
IRN,437586909818.0
IRQ,175224966519.0
IRL,258400829767.0
IMN,6512615316.0
ISR,327431765904.0
ITA,1897053374210.0
JAM,13872542458.0
JPN,4880259852107.0
JOR,39904609620.0
KAZ,145112017590.0
KEN,71394919719.0
KIR,344201276.9
KOR,1556023587983.0
XKX,7100692811.0
KWT,127358902013.0
KGZ,6901489136.0
LAO,15595221761.0
LVA,28811805282.0
LBN,50913474038.0
LSO,2495497296.0
LBR,2930570757.0
LBY,35594081148.0
LTU,43180276969.0
LUX,39585325827.0
MAC,43569462694.0
MKD,10247024587.0
MDG,12018895988.0
MWI,6614623808.0
MYS,309437218441.0
MDV,4268842606.0
MLI,14186517280.0
MLT,11296118680.0
MHL,255118000.2
MRT,6411464121.0
MUS,13890224438.0
MEX,1112621185283.0
FSM,384876485.6
MDA,9174041564.0
MNG,10060007635.0
MNE,4611748169.0
MAR,104149048313.0
MOZ,13365347252.0
MMR,63837946078.0
NAM,11102305273.0
NRU,130871292.4
NPL,27232896302.0
NLD,806979788888.0
NZL,187274395458.0
NIC,12954212736.0
NER,11151689602.0
NGA,398884656814.0
NOR,399221195957.0
OMN,65193960445.0
PAK,290279849868.0
PLW,296534044.4
PAN,56460139541.0
PNG,21821497920.0
PRY,36904802958.0
PER,190676969851.0
PHL,371432805706.0
POL,483489673113.0
PRT,206386491553.0
PRI,66496604274.0
QAT,155078880452.0
ROU,198110938275.0
RUS,1352318413599.0
RWA,8797068454.0
WSM,794265353.4
STP,351274714.5
SAU,661786907041.0
SEN,19680082094.0
SRB,39099360640.0
SYC,1375494528.0
SLE,3860911338.0
SGP,305668366341.0
SXM,1144609211.0
SVK,90278886711.0
SVN,45698584665.0
SLB,1412047148.0
SOM,4224593452.0
ZAF,308438648537.0
ESP,1261418177897.0
LKA,83012085547.0
KNA,897024048.4
LCA,1823464989.0
VCT,767689263.6
SDN,53447945633.0
SUR,3384015903.0
SWZ,3810548789.0
SWE,533338506157.0
CHE,689026950503.0
TJK,9110554255.0
TZA,51458345717.0
THA,412965294985.0
TLS,2219006381.0
TGO,5537849729.0
TON,468564210.5
TTO,22123212786.0
TUN,40293252367.0
TUR,890153263734.0
TKM,36747796296.0
TCA,972322076.4
TUV,54688189.09
UGA,30634965161.0
UKR,101058845627.0
ARE,372749792235.0
GBR,2726676389090.0
USA,19332396438380.0
URY,54706274246.0
UZB,76191069640.0
VUT,816563504.9
VNM,201790631027.0
PSE,17506623961.0
YEM,29871922711.0
ZMB,21930929002.0
ZWE,19742493753.0
