country_iso3,life_expectancy
AFG,64.13
ALB,78.333
DZA,76.499
AGO,60.379
ATG,76.752
ARG,76.372
ARM,74.797
ABW,76.01
AUS,82.5
AUT,81.64390244
AZE,72.693
BHS,73.554
BHR,77.032
BGD,72.052
BRB,78.981
BLR,74.12926829
BEL,81.49268293
BLZ,74.365
BEN,61.174
BMU,81.44195122
BTN,71.129
BOL,70.945
BIH,77.128
BWA,68.812
BRA,75.456
BRN,75.585
BGR,74.81463415
BFA,60.768
BDI,60.898
CPV,72.57
KHM,69.289
CMR,58.511
CAN,81.9
CAF,52.24
TCD,53.712
CHI,82.766
CHL,79.909
CHN,76.47
COL,76.925
COM,63.912
COD,60.026
COG,63.954
CRI,79.914
CIV,57.017
HRV,77.82682927
CUB,78.662
CUW,78.01707317
CYP,80.672
CZE,78.97804878
DNK,81.10243902
DJI,65.893
DOM,73.689
ECU,76.584
EGY,71.656
SLV,72.872
GNQ,58.061
ERI,65.538
EST,78.09268293
ETH,65.872
FRO,82.29512195
FJI,67.252
FIN,81.63170732
FRA,82.57560976
PYF,77.251
GAB,65.839
GMB,61.44
GEO,73.414
DEU,80.99268293
GHA,63.463
GRC,81.28780488
GRL,70.62243902
GRD,72.388
GUM,79.631
GTM,73.81
GIN,60.706
GNB,57.673
GUY,69.624
HTI,63.29
HND,74.898
HKG,84.6804878
HUN,75.81707317
ISL,82.66097561
IND,69.165
IDN,71.282
IRN,76.271
IRQ,70.294
IRL,82.15609756
ISR,82.55121951
ITA,82.94634146
JAM,74.267
JPN,84.0997561
JOR,74.292
KAZ,72.95
KEN,65.909
KIR,67.851
PRK,71.91
KOR,82.62682927
XKX,71.99512195
KWT,75.311
KGZ,71.2
LAO,67.277
LVA,74.62926829
LBN,78.833
LSO,52.947
LBR,63.295
LBY,72.52
LIE,83.74634146
LTU,75.4804878
LUX,82.09512195
MAC,83.989
MKD,75.589
MDG,66.311
MWI,63.279
MYS,75.828
MDV,78.325
MLI,58.452
MLT,82.34634146
MRT,64.464
MUS,74.51463415
MEX,74.947
FSM,67.618
MDA,71.717
MNG,69.509
MNE,76.667
MAR,76.218
MOZ,59.309
MMR,66.558
NAM,63.021
NPL,70.169
NLD,81.76097561
NCL,77.53902439
NZL,81.65853659
NIC,74.068
NER,61.599
NGA,53.95
NOR,82.6097561
OMN,77.393
PAK,66.947
PAN,78.149
PNG,64.01
PRY,73.992
PER,76.286
PHL,70.952
POL,77.75365854
PRT,81.42439024
PRI,79.63453659
QAT,79.981
ROU,75.3097561
RUS,72.45146341
RWA,68.341
WSM,73.046
STP,69.933
SAU,74.874
SEN,67.38
SRB,75.53902439
SYC,74.3
SLE,53.895
SGP,83.09512195
SVK,77.16585366
SVN,81.02926829
SLB,72.645
SOM,56.709
ZAF,63.538
SSD,57.365
ESP,83.28292683
LKA,76.648
LCA,75.907
MAF,79.62195122
VCT,72.3
SDN,64.881
SUR,71.463
SWZ,58.319
SWE,82.4097561
CHE,83.55121951
SYR,70.967
TJK,70.647
TZA,64.479
THA,76.683
TLS,69.007
TGO,60.489
TON,70.701
TTO,73.245
TUN,76.31
TUR,77.161
TKM,67.956
UGA,62.516
UKR,71.78097561
ARE,77.647
GBR,81.25609756
USA,78.53902439
URY,77.632
UZB,71.388
VUT,70.172
VEN,72.246
VNM,75.241
VIR,79.36829268
PSE,73.74
YEM,66.086
ZMB,63.043
ZWE,60.812
