country_iso3,foreign_direct_investment_inflows
AFG,51533896.77
ALB,1022757857.0
DZA,1230243451.0
AGO,-7397295409.0
ATG,156934594.9
ARG,11516861462.0
ARM,250935110.2
ABW,162463551.5
AUS,47281951027.0
AUT,13518864836.0
AZE,2867487000.0
BHS,304587573.1
BHR,518882978.7
BGD,1810395804.0
BRB,206157500.0
BLR,1276300000.0
BEL,-37288840312.0
BLZ,31831615.5
BEN,200902719.3
BMU,-288109271.0
BTN,-16553759.95
BOL,712474137.8
BIH,509429047.9
BWA,260575129.4
BRA,68885491315.0
VGB,57574406992.0
BRN,467927550.3
BGR,2007290000.0
BFA,2572690.322
BDI,316473.4494
CPV,111711633.7
KHM,2788084322.0
CMR,814458940.9
CAN,25357801000.0
CYM,2506466934.0
CAF,6888751.401
TCD,363381636.4
CHL,6127820993.0
CHN,166083755722.0
COL,13836696227.0
COM,3919473.025
COD,1047979483.0
COG,4416953734.0
CRI,2868934829.0
CIV,975014998.8
HRV,476823315.6
CUW,172681564.2
CYP,12249400600.0
CZE,11234740946.0
DNK,3607276300.0
DJI,164933603.4
DMA,24103787.49
DOM,3597900000.0
ECU,624469412.3
EGY,7408700000.0
SLV,503801415.2
GNQ,304827249.5
ERI,55468000.0
EST,1727022619.0
ETH,4017159565.0
FJI,387602565.3
FIN,17149122038.0
FRA,35868111746.0
PYF,79265983.72
GAB,1314029330.0
GMB,5445631.489
GEO,1918136481.0
DEU,109505815447.0
GHA,3254990000.0
GRC,3439131880.0
GRD,138812161.5
GTM,998344470.0
GIN,577590000.0
GNB,15691197.95
GUY,327343651.2
HTI,374855000.0
HND,949955941.5
HKG,125716724340.0
HUN,-12133055293.0
ISL,-6999892981.0
IND,39966091359.0
IDN,20510310832.0
IRN,5019000000.0
IRQ,-5032400000.0
IRL,58300808408.0
ISR,16892500000.0
ITA,11138429977.0
JAM,888835228.5
JPN,18802251208.0
JOR,2029718310.0
KAZ,4712631471.0
KEN,1266137283.0
KIR,784797.2549
PRK,-12791000.0
KOR,17912900000.0
XKX,286835212.1
KWT,113012065.0
KGZ,-107212800.0
LAO,1693080811.0
LVA,1152510428.0
LBN,2522409653.0
LSO,123091950.4
LBR,247842983.0
LBY,0.0
LIE,38999586461.0
LTU,1383731106.0
LUX,-6815331955.0
MAC,1446168251.0
MKD,380738977.5
MDG,464856589.6
MWI,90200000.0
MYS,9368469823.0
MDV,457808313.6
MLI,559362392.1
MLT,3757935765.0
MHL,5835497.48
MRT,588217194.8
MUS,479995890.3
MEX,33016832348.0
MDA,149520000.0
MNG,1494350363.0
MNE,560665419.0
MAR,2680109856.0
MOZ,2319071971.0
MMR,4804272487.0
NAM,280476975.0
NRU,0.0
NPL,196265098.6
NLD,223200484756.0
NCL,494949120.1
NZL,2093698050.0
NIC,1035400000.0
NER,338710710.1
NGA,2412974916.0
NOR,5900604724.0
OMN,2917295189.0
PAK,2496000000.0
PLW,27484632.72
PAN,3976868000.0
PNG,161470622.8
PRY,744619762.9
PER,6860492819.0
PHL,10256442399.0
POL,11762000000.0
PRT,10683844361.0
QAT,985989011.0
ROU,5952909608.0
RUS,28557440000.0
RWA,274025990.7
WSM,9215371.787
STP,34208489.03
SAU,1418843614.0
SEN,588292998.0
SRB,2894615965.0
SYC,124465535.7
SLE,413724476.1
SGP,100786356971.0
SXM,64248297.04
SVK,4225581974.0
SVN,1196228605.0
SLB,42883975.63
SOM,369000000.0
ZAF,2058579911.0
SSD,1420000.0
ESP,31565354024.0
LKA,1372723043.0
KNA,40222156.59
LCA,37684236.08
VCT,153111526.4
SDN,1065298481.0
SUR,96075554.74
SWZ,-57647593.39
SWE,28044044009.0
CHE,142756382246.0
TJK,185827080.7
TZA,940523072.2
THA,8285169820.0
TLS,6715937.467
TGO,88558699.5
TON,-5613753.358
TTO,-470882577.7
TUN,810936482.8
TUR,11042000000.0
TKM,2085944000.0
TCA,22068000.0
TUV,300000.0
UGA,802704141.0
UKR,3918000000.0
ARE,10354223000.0
GBR,125358809934.0
USA,366995000000.0
URY,2639886037.0
UZB,1797341436.0
VUT,38222690.16
VEN,-68000000.0
VNM,14100000000.0
PSE,183950642.9
YEM,-269850000.0
ZMB,1107519805.0
ZWE,247187738.8
