country_iso3,net_barter_of_trade
AFG,167.5489697
ALB,94.53256107
DZA,176.7435931
ASM,152.454192
AGO,147.7066494
ATG,54.62271146
ARG,150.7457768
ARM,132.1706988
ABW,95.74792977
AUS,172.4928872
AUT,87.39412265
AZE,123.794084
BHS,78.64972193
BHR,137.9868329
BGD,66.2913641
BRB,120.5732807
BLR,97.76388586
BEL,95.76767056
BLZ,104.2659875
BEN,129.9256095
BMU,114.3454379
BTN,123.1562601
BOL,103.6572313
BIH,103.1469075
BWA,87.56769633
BRA,116.0580489
VGB,54.80071843
BRN,141.9753174
BGR,111.0493019
BFA,140.4540499
BDI,161.5562119
CPV,110.0084185
KHM,72.75436401
CMR,141.8341166
CAN,105.5229537
CYM,61.5247236
CAF,79.32549068
TCD,134.3639001
CHL,214.4231458
CHN,87.29397864
COL,127.7919685
COM,97.84979832
COD,130.9686908
COG,180.3070244
CRI,99.90802204
CIV,152.3219865
HRV,98.09119572
CUB,178.1852178
CYP,90.53554651
CZE,103.4637821
DNK,100.3269168
DJI,103.0748449
DMA,107.5411464
DOM,106.5096662
ECU,122.288014
EGY,149.0685022
SLV,95.86047171
GNQ,144.3169053
ERI,94.9459847
EST,94.74942653
ETH,141.7854298
FRO,118.324943
FJI,110.3761686
FIN,90.87155089
FRA,89.20320726
PYF,86.65574492
GAB,159.2813093
GMB,105.1393645
GEO,148.6147808
DEU,100.2129412
GHA,183.6060564
GIB,50.5714195
GRC,89.23662742
GRL,91.50413645
GRD,96.8358338
GUM,111.0328125
GTM,184.2438973
GIN,110.2555918
GNB,102.2041055
GUY,127.9165455
HTI,265.3915951
HND,133.499715
HKG,97.05864027
HUN,102.7105571
ISL,91.91079263
IND,103.9498284
IDN,119.575544
IRN,144.6445906
IRQ,133.6422561
IRL,94.81090644
ISR,110.4940886
ITA,102.3166725
JAM,92.8278372
JPN,68.68033082
JOR,73.54866252
KAZ,159.7326018
KEN,106.9121535
KIR,114.1745758
PRK,75.41951393
KOR,59.40316948
KWT,142.1355959
KGZ,133.6169738
LAO,102.3044275
LVA,105.5521248
LBN,108.922747
LSO,80.56307375
LBR,136.0291644
LBY,129.1093773
LTU,98.65455398
LUX,72.82777185
MAC,88.72359619
MKD,94.49337295
MDG,74.14072862
MWI,117.4648103
MYS,106.0252197
MDV,107.5643403
MLI,171.562567
MLT,137.4413712
MHL,111.0734352
MRT,138.9969776
MUS,118.9300271
MEX,91.79148495
FSM,112.8766906
MDA,74.33987828
MNG,185.9697009
MAR,111.2928518
MOZ,100.4227396
MMR,97.41143432
NAM,129.4017562
NRU,123.8589489
NPL,80.46528148
NLD,93.44233169
NCL,172.1807253
NZL,147.6389552
NIC,193.6894461
NER,154.1802375
NGA,140.9469853
MNP,91.14498403
NOR,119.0225564
OMN,119.3701344
PAK,52.5416544
PLW,98.94223249
PAN,169.8856847
PNG,174.8264631
PRY,126.1134533
PER,175.401591
PHL,82.84495881
POL,98.89419785
PRT,95.49292117
QAT,139.9430274
ROU,107.0280961
RUS,127.7385849
RWA,191.5959769
WSM,84.85303609
STP,103.7784279
SAU,103.8568963
SEN,115.068975
SRB,114.3846403
SYC,86.70532851
SLE,56.34621901
SGP,84.39635131
SVK,94.97718922
SVN,95.10817185
SLB,94.83194863
SOM,97.59443457
ZAF,151.1375341
ESP,91.93509651
LKA,115.9619524
KNA,70.02986413
LCA,98.78521373
VCT,112.4234265
SDN,194.5388036
SUR,140.619554
SWZ,116.7537046
SWE,90.35066989
CHE,109.6366246
SYR,149.1149891
TJK,97.02487428
TZA,163.8287448
THA,102.633045
TGO,119.4735885
TON,116.9005426
TTO,129.8366482
TUN,101.8697215
TUR,97.34952524
TKM,151.2957792
TCA,64.74003006
UGA,120.7586297
UKR,84.80406224
ARE,152.8648477
GBR,99.62914398
USA,99.594485
URY,120.0817841
UZB,159.0708187
VUT,101.7166925
VEN,205.0076529
VNM,136.9864737
PSE,84.88233074
YEM,148.4791763
ZMB,174.8716562
ZWE,113.4594685
